OM_Category_Label,OM_Simplified_Category,OM_Updated_Category,NAICS_Code,NAICS_Description
virtual_reality_center,Arts & Entertainment,Arts & Entertainment,713990,All Other Amusement and Recreation Industries
history_museum,Arts & Entertainment,Arts & Entertainment,712110,Museums
performing_arts,Arts & Entertainment,Arts & Entertainment,711110,Theater Companies and Dinner Theaters
circus,Arts & Entertainment,Arts & Entertainment,711190,Other Performing Arts Companies
sports_museum,Arts & Entertainment,Arts & Entertainment,712110,Museums
aquarium,Arts & Entertainment,Arts & Entertainment,712130,Zoos and Botanical Gardens
agricultural_production,Arts & Entertainment,Arts & Entertainment,111998,All Other Miscellaneous Crop Farming
music_festivals_and_organizations,Arts & Entertainment,Arts & Entertainment,711190,Other Performing Arts Companies
art_school,Arts & Entertainment,Arts & Entertainment,611610,Fine Arts Schools
topic_concert_venue,Arts & Entertainment,Arts & Entertainment,713990,All Other Amusement and Recreation Industries
trade_fair,Arts & Entertainment,Arts & Entertainment,561920,Convention and Trade Show Organizers
musical_band_orchestras_and_symphonies,Arts & Entertainment,Arts & Entertainment,711130,Musical Groups and Artists
dance_club,Arts & Entertainment,Arts & Entertainment,713990,All Other Amusement and Recreation Industries
opera_and_ballet,Arts & Entertainment,Arts & Entertainment,711120,Dance Companies
general_festivals,Arts & Entertainment,Arts & Entertainment,711190,Other Performing Arts Companies
audio_visual_production_and_design,Arts & Entertainment,Arts & Entertainment,713990,All Other Amusement and Recreation Industries
escape_rooms,Arts & Entertainment,Arts & Entertainment,713990,All Other Amusement and Recreation Industries
henna_artist,Arts & Entertainment,Arts & Entertainment,711510,"Independent Artists, Writers, and Performers"
crops_production,Arts & Entertainment,Arts & Entertainment,111998,All Other Miscellaneous Crop Farming
water_park,Arts & Entertainment,Arts & Entertainment,713110,Amusement and Theme Parks
cultural_center,Arts & Entertainment,Arts & Entertainment,712190,Nature Parks and Other Similar Institutions
choir,Arts & Entertainment,Arts & Entertainment,711130,Musical Groups and Artists
contemporary_art_museum,Arts & Entertainment,Arts & Entertainment,712110,Museums
adult_entertainment,Arts & Entertainment,Arts & Entertainment,713990,All Other Amusement and Recreation Industries
art_gallery,Arts & Entertainment,Arts & Entertainment,453920,Art Dealers
observatory,Arts & Entertainment,Arts & Entertainment,712190,Nature Parks and Other Similar Institutions
festival,Arts & Entertainment,Arts & Entertainment,711190,Other Performing Arts Companies
entertainment_law,Arts & Entertainment,Arts & Entertainment,713990,All Other Amusement and Recreation Industries
film_festivals_and_organizations,Arts & Entertainment,Arts & Entertainment,711190,Other Performing Arts Companies
computer_museum,Arts & Entertainment,Arts & Entertainment,712110,Museums
planetarium,Arts & Entertainment,Arts & Entertainment,712190,Nature Parks and Other Similar Institutions
amusement_park,Arts & Entertainment,Arts & Entertainment,713110,Amusement and Theme Parks
orchards_production,Arts & Entertainment,Arts & Entertainment,111331,Apple Orchards
arts_and_entertainment,Arts & Entertainment,Arts & Entertainment,713990,All Other Amusement and Recreation Industries
community_museum,Arts & Entertainment,Arts & Entertainment,712110,Museums
commissioned_artist,Arts & Entertainment,Arts & Entertainment,711510,"Independent Artists, Writers, and Performers"
video_film_production,Arts & Entertainment,Arts & Entertainment,512110,Motion Picture and Video Production
recording_and_rehearsal_studio,Arts & Entertainment,Arts & Entertainment,512240,Sound Recording Studios
rodeo,Arts & Entertainment,Arts & Entertainment,711190,Other Performing Arts Companies
design_museum,Arts & Entertainment,Arts & Entertainment,712110,Museums
theatre,Arts & Entertainment,Arts & Entertainment,711110,Theater Companies and Dinner Theaters
karaoke,Arts & Entertainment,Arts & Entertainment,713990,All Other Amusement and Recreation Industries
asian_art_museum,Arts & Entertainment,Arts & Entertainment,712110,Museums
corporate_entertainment_services,Arts & Entertainment,Arts & Entertainment,713990,All Other Amusement and Recreation Industries
qi_gong_studio,Arts & Entertainment,Beauty & Wellness,812199,Other Personal Care Services
comedy_club,Arts & Entertainment,Arts & Entertainment,711110,Theater Companies and Dinner Theaters
state_museum,Arts & Entertainment,Arts & Entertainment,712110,Museums
drive_in_theater,Arts & Entertainment,Arts & Entertainment,512132,Drive-In Motion Picture Theaters
tai_chi_studio,Arts & Entertainment,Beauty & Wellness,812199,Other Personal Care Services
music_production_services,Arts & Entertainment,Arts & Entertainment,713990,All Other Amusement and Recreation Industries
photography_museum,Arts & Entertainment,Arts & Entertainment,712110,Museums
broadcasting_media_production,Arts & Entertainment,Arts & Entertainment,713990,All Other Amusement and Recreation Industries
national_museum,Arts & Entertainment,Arts & Entertainment,712110,Museums
theatrical_productions,Arts & Entertainment,Arts & Entertainment,713990,All Other Amusement and Recreation Industries
aviation_museum,Arts & Entertainment,Arts & Entertainment,712110,Museums
outdoor_movies,Arts & Entertainment,Arts & Entertainment,512132,Drive-In Motion Picture Theaters
aquarium_services,Arts & Entertainment,Arts & Entertainment,713990,All Other Amusement and Recreation Industries
decorative_arts_museum,Arts & Entertainment,Arts & Entertainment,712110,Museums
music_production,Arts & Entertainment,Arts & Entertainment,713990,All Other Amusement and Recreation Industries
magician,Arts & Entertainment,Arts & Entertainment,711510,"Independent Artists, Writers, and Performers"
theaters_and_performance_venues,Arts & Entertainment,Arts & Entertainment,711110,Theater Companies and Dinner Theaters
art_tours,Arts & Entertainment,Arts & Entertainment,713990,All Other Amusement and Recreation Industries
petting_zoo,Arts & Entertainment,Arts & Entertainment,712130,Zoos and Botanical Gardens
cinema,Arts & Entertainment,Arts & Entertainment,512131,Motion Picture Theaters (except Drive-Ins)
movie_television_studio,Arts & Entertainment,Arts & Entertainment,512110,Motion Picture and Video Production
housing_cooperative,Arts & Entertainment,Arts & Entertainment,713990,All Other Amusement and Recreation Industries
costume_museum,Arts & Entertainment,Arts & Entertainment,712110,Museums
dance_school,Arts & Entertainment,Arts & Entertainment,611610,Fine Arts Schools
science_museum,Arts & Entertainment,Arts & Entertainment,712110,Museums
animation_studio,Arts & Entertainment,Arts & Entertainment,512110,Motion Picture and Video Production
childrens_museum,Arts & Entertainment,Arts & Entertainment,712110,Museums
music_venue,Arts & Entertainment,Arts & Entertainment,711130,Musical Groups and Artists
art_museum,Arts & Entertainment,Arts & Entertainment,712110,Museums
arcade,Arts & Entertainment,Arts & Entertainment,713120,Amusement Arcades
circus_school,Arts & Entertainment,Arts & Entertainment,711190,Other Performing Arts Companies
karaoke_rental,Arts & Entertainment,Arts & Entertainment,532490,Other Consumer Goods Rental
military_museum,Arts & Entertainment,Arts & Entertainment,712110,Museums
botanical_garden,Arts & Entertainment,Arts & Entertainment,712130,Zoos and Botanical Gardens
fair,Arts & Entertainment,Arts & Entertainment,711190,Other Performing Arts Companies
drama_school,Arts & Entertainment,Arts & Entertainment,611610,Fine Arts Schools
bingo_hall,Arts & Entertainment,Arts & Entertainment,713290,Other Gambling Industries
modern_art_museum,Arts & Entertainment,Arts & Entertainment,713990,All Other Amusement and Recreation Industries
casino,Arts & Entertainment,Arts & Entertainment,721120,Casino Hotels
grain_production,Arts & Entertainment,Arts & Entertainment,111150,Corn Farming
museum,Arts & Entertainment,Arts & Entertainment,712110,Museums
civilization_museum,Arts & Entertainment,Arts & Entertainment,712110,Museums
dinner_theater,Arts & Entertainment,Arts & Entertainment,711110,Theater Companies and Dinner Theaters
commercial_vehicle_dealer,Automotive,Automotive,441110,New Car Dealers
emissions_inspection,Automotive,Automotive,811198,All Other Automotive Repair and Maintenance
b2b_forklift_dealers,Automotive,Business-to-Business,423830,Industrial Machinery and Equipment Merchant Wholesalers
foundation_repair,Automotive,Automotive,238110,Poured Concrete Foundation and Structure Contractors
coin_dealers,Automotive,Automotive,811111,General Automotive Repair
shoe_repair,Automotive,Automotive,811111,General Automotive Repair
hydraulic_repair_service,Automotive,Automotive,811111,General Automotive Repair
trailer_dealer,Automotive,Automotive,441210,Recreational Vehicle Dealers
b2b_equipment_maintenance_and_repair,Automotive,Business-to-Business,425120,Wholesale Trade Agents and Brokers
automotive_parts_and_accessories,Automotive,Automotive,811111,General Automotive Repair
wheel_and_rim_repair,Automotive,Automotive,811118,Other Automotive Mechanical and Electrical Repair and Maintenance
auto_customization,Automotive,Automotive,811121,"Automotive Body, Paint, and Interior Repair and Maintenance"
auto_glass_service,Automotive,Automotive,811122,Automotive Glass Replacement Shops
forklift_dealer,Automotive,Automotive,423830,Industrial Machinery and Equipment Merchant Wholesalers
car_inspection,Automotive,Automotive,811198,All Other Automotive Repair and Maintenance
media_restoration_service,Automotive,Automotive,811111,General Automotive Repair
car_buyer,Automotive,Automotive,423110,Automobile and Other Motor Vehicle Merchant Wholesalers
b2b_truck_equipment_parts_and_accessories,Automotive,Business-to-Business,425120,Wholesale Trade Agents and Brokers
boat_service_and_repair,Automotive,Automotive,811490,Other Personal and Household Goods Repair and Maintenance
motorcycle_rentals,Automotive,Automotive,532292,Recreational Goods Rental
car_dealer,Automotive,Automotive,441110,New Car Dealers
truck_rentals,Automotive,Automotive,532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing"
motorcycle_dealer,Automotive,Automotive,441221,Motorcycle Dealers
recreation_vehicle_repair,Automotive,Automotive,811111,General Automotive Repair
mobile_home_dealer,Automotive,Automotive,453930,Manufactured (Mobile) Home Dealers
car_wash,Automotive,Automotive,811192,Car Washes
brake_service_and_repair,Automotive,Automotive,811118,Other Automotive Mechanical and Electrical Repair and Maintenance
automation_services,Automotive,Automotive,811111,General Automotive Repair
automotive_wheel_polishing_service,Automotive,Automotive,811111,General Automotive Repair
exhaust_and_muffler_repair,Automotive,Automotive,811112,Automotive Exhaust System Repair
car_broker,Automotive,Automotive,541199,All Other Legal Services
car_window_tinting,Automotive,Automotive,811122,Automotive Glass Replacement Shops
department_of_motor_vehicles,Automotive,Automotive,926120,Regulation and Administration of Transportation Programs
tire_dealer_and_repair,Automotive,Automotive,441320,Tire Dealers
towing_service,Automotive,Automotive,488410,Motor Vehicle Towing
jewelry_repair_service,Automotive,Automotive,811111,General Automotive Repair
car_rental_agency,Automotive,Automotive,532111,Passenger Car Rental
inspection_services,Automotive,Automotive,811198,All Other Automotive Repair and Maintenance
truck_dealer,Automotive,Automotive,441110,New Car Dealers
bike_repair_maintenance,Automotive,Automotive,811490,Other Personal and Household Goods Repair and Maintenance
mobile_home_repair,Automotive,Automotive,811111,General Automotive Repair
trucks_and_industrial_vehicles,Automotive,Automotive,811111,General Automotive Repair
automotive_services_and_repair,Automotive,Automotive,811111,General Automotive Repair
truck_repair,Automotive,Automotive,811111,General Automotive Repair
clock_repair_service,Automotive,Automotive,811111,General Automotive Repair
b2b_autos_and_vehicles,Automotive,Business-to-Business,425120,Wholesale Trade Agents and Brokers
fire_and_water_damage_restoration,Automotive,Automotive,811111,General Automotive Repair
auto_security,Automotive,Automotive,811198,All Other Automotive Repair and Maintenance
motorcycle_gear,Automotive,Automotive,811111,General Automotive Repair
car_stereo_installation,Automotive,Automotive,811118,Other Automotive Mechanical and Electrical Repair and Maintenance
farm_equipment_repair_service,Automotive,Automotive,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance
auto_detailing,Automotive,Automotive,811192,Car Washes
car_auction,Automotive,Automotive,423110,Automobile and Other Motor Vehicle Merchant Wholesalers
boat_dealer,Automotive,Automotive,441222,Boat Dealers
it_service_and_computer_repair,Automotive,Automotive,811111,General Automotive Repair
truck_dealer_for_businesses,Automotive,Automotive,811111,General Automotive Repair
automotive_repair,Automotive,Automotive,811111,General Automotive Repair
home_automation,Automotive,Automotive,811111,General Automotive Repair
hybrid_car_repair,Automotive,Automotive,811111,General Automotive Repair
furniture_repair,Automotive,Automotive,811111,General Automotive Repair
diamond_dealer,Automotive,Automotive,811111,General Automotive Repair
automotive,Automotive,Automotive,811111,General Automotive Repair
auto_loan_provider,Automotive,Automotive,811111,General Automotive Repair
aircraft_repair,Automotive,Automotive,811111,General Automotive Repair
used_car_dealer,Automotive,Automotive,811111,General Automotive Repair
retirement_home,Automotive,Automotive,811111,General Automotive Repair
automotive_dealer,Automotive,Automotive,811111,General Automotive Repair
water_heater_installation_repair,Automotive,Automotive,811111,General Automotive Repair
motorsport_vehicle_repair,Automotive,Automotive,811111,General Automotive Repair
art_restoration_service,Automotive,Automotive,811111,General Automotive Repair
vehicle_wrap,Automotive,Automotive,811111,General Automotive Repair
mobile_phone_repair,Automotive,Automotive,811111,General Automotive Repair
recreational_vehicle_parts_and_accessories,Automotive,Automotive,811111,General Automotive Repair
b2b_tires,Automotive,Business-to-Business,425120,Wholesale Trade Agents and Brokers
washer_and_dryer_repair_service,Automotive,Automotive,811111,General Automotive Repair
recreational_vehicle_dealer,Automotive,Automotive,811111,General Automotive Repair
vehicle_shipping,Automotive,Automotive,811111,General Automotive Repair
watch_repair_service,Automotive,Automotive,811111,General Automotive Repair
automotive_consultant,Automotive,Automotive,811111,General Automotive Repair
windshield_installation_and_repair,Automotive,Automotive,811111,General Automotive Repair
gas_station,Automotive,Automotive,447110,Gasoline Stations with Convenience Stores
auto_insurance,Automotive,Automotive,811111,General Automotive Repair
art_restoration,Automotive,Automotive,811111,General Automotive Repair
auto_electrical_repair,Automotive,Automotive,811111,General Automotive Repair
scooter_dealers,Automotive,Automotive,811111,General Automotive Repair
home_window_tinting,Automotive,Automotive,811111,General Automotive Repair
bathtub_and_sink_repairs,Automotive,Automotive,811111,General Automotive Repair
cable_car_service,Automotive,Automotive,811111,General Automotive Repair
truck_gas_station,Automotive,Automotive,811111,General Automotive Repair
damage_restoration,Automotive,Automotive,811111,General Automotive Repair
auto_manufacturers_and_distributors,Automotive,Automotive,811111,General Automotive Repair
motorcycle_repair,Automotive,Automotive,811111,General Automotive Repair
car_sharing,Automotive,Automotive,811111,General Automotive Repair
aircraft_dealer,Automotive,Automotive,811111,General Automotive Repair
generator_installation_repair,Automotive,Automotive,811111,General Automotive Repair
lawn_mower_repair_service,Automotive,Automotive,811111,General Automotive Repair
automobile_leasing,Automotive,Automotive,811111,General Automotive Repair
b2b_tractor_dealers,Automotive,Automotive,811111,General Automotive Repair
motorsport_vehicle_dealer,Automotive,Automotive,811111,General Automotive Repair
mobile_dent_repair,Automotive,Automotive,811111,General Automotive Repair
livestock_dealers,Automotive,Automotive,811111,General Automotive Repair
auto_company,Automotive,Automotive,811111,General Automotive Repair
automobile_registration_service,Automotive,Automotive,811111,General Automotive Repair
transmission_repair,Automotive,Automotive,811111,General Automotive Repair
fuel_dock,Automotive,Automotive,811111,General Automotive Repair
ceiling_and_roofing_repair_and_service,Automotive,Construction & Contractors,236220,Commercial and Institutional Building Construction
town_car_service,Automotive,Automotive,811111,General Automotive Repair
mechanical_engineers,Automotive,Automotive,811111,General Automotive Repair
engine_repair_service,Automotive,Automotive,811111,General Automotive Repair
automotive_storage_facility,Automotive,Automotive,811111,General Automotive Repair
auto_restoration_services,Automotive,Automotive,811111,General Automotive Repair
appliance_repair_service,Automotive,Automotive,811111,General Automotive Repair
furniture_reupholstery,Automotive,Automotive,811111,General Automotive Repair
auto_upholstery,Automotive,Automotive,811111,General Automotive Repair
trailer_repair,Automotive,Automotive,811111,General Automotive Repair
oil_change_station,Automotive,Automotive,811111,General Automotive Repair
motorcycle_manufacturer,Automotive,Automotive,811111,General Automotive Repair
game_truck_rental,Automotive,Automotive,811111,General Automotive Repair
golf_cart_dealer,Automotive,Automotive,811111,General Automotive Repair
eyelash_service,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
muay_thai_club,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
boot_camp,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
martial_arts_club,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
boxing_class,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
laser_hair_removal,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
nutritionist,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
coworking_space,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
makerspace,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
beauty_salon,Beauty & Wellness,Beauty & Wellness,812112,Beauty Salons
tattoo_removal,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
kickboxing_club,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
aerial_fitness_center,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
reiki,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
shared_office_space,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
hair_extensions,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
boudoir_photography,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
yoga_instructor,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
fitness_trainer,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
beauty_and_spa,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
karate_club,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
tanning_bed,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
fitness_exercise_equipment,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
hair_salon,Beauty & Wellness,Beauty & Wellness,812112,Beauty Salons
gymnastics_club,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
float_spa,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
eyebrow_service,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
hair_removal,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
skin_care,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
hair_loss_center,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
esthetician,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
gym,Beauty & Wellness,Beauty & Wellness,713940,Fitness and Recreational Sports Centers
dietitian,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
day_spa,Beauty & Wellness,Beauty & Wellness,812190,Other Personal Care Services
blow_dry_blow_out_service,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
tattoo_and_piercing,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
piercing,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
pilates_studio,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
venue_and_event_space,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
massage,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
gymnastics_center,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
horse_trainer,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
weight_loss_center,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
nail_salon,Beauty & Wellness,Beauty & Wellness,812113,Nail Salons
tattoo,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
sauna,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
chinese_martial_arts_club,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
art_space_rental,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
sports_and_fitness_instruction,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
fitness_equipment_wholesaler,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
yoga_studio,Beauty & Wellness,Beauty & Wellness,713940,Fitness and Recreational Sports Centers
brazilian_jiu_jitsu_club,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
dog_trainer,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
tanning_salon,Beauty & Wellness,Beauty & Wellness,812191,Diet and Weight Reducing Centers
waxing,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
threading_service,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
sugaring,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
spray_tanning,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
hair_stylist,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
spas,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
boxing_club,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
kids_hair_salon,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
rock_climbing_gym,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
taekwondo_club,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
newspaper_advertising,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
cosmetic_and_beauty_supplies,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
hair_replacement,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
boxing_gym,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
makeup_artist,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
aesthetician,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
permanent_makeup,Beauty & Wellness,Beauty & Wellness,812199,Other Personal Care Services
electronic_parts_supplier,Business-to-Business,Business-to-Business,425120,Wholesale Trade Agents and Brokers
b2b_scientific_equipment,Business-to-Business,Business-to-Business,425120,Wholesale Trade Agents and Brokers
propane_supplier,Business-to-Business,Business-to-Business,425120,Wholesale Trade Agents and Brokers
corporate_gift_supplier,Business-to-Business,Business-to-Business,425120,Wholesale Trade Agents and Brokers
fastener_supplier,Business-to-Business,Business-to-Business,425120,Wholesale Trade Agents and Brokers
b2b_furniture_and_housewares,Business-to-Business,Business-to-Business,425120,Wholesale Trade Agents and Brokers
bearing_supplier,Business-to-Business,Business-to-Business,425120,Wholesale Trade Agents and Brokers
vending_machine_supplier,Business-to-Business,Business-to-Business,425120,Wholesale Trade Agents and Brokers
granite_supplier,Business-to-Business,Business-to-Business,425120,Wholesale Trade Agents and Brokers
cement_supplier,Business-to-Business,Business-to-Business,425120,Wholesale Trade Agents and Brokers
ice_supplier,Business-to-Business,Business-to-Business,425120,Wholesale Trade Agents and Brokers
b2b_hardware,Business-to-Business,Business-to-Business,425120,Wholesale Trade Agents and Brokers
scale_supplier,Business-to-Business,Business-to-Business,425120,Wholesale Trade Agents and Brokers
pipe_supplier,Business-to-Business,Business-to-Business,425120,Wholesale Trade Agents and Brokers
aluminum_supplier,Business-to-Business,Business-to-Business,425120,Wholesale Trade Agents and Brokers
stone_supplier,Business-to-Business,Business-to-Business,425120,Wholesale Trade Agents and Brokers
awning_supplier,Business-to-Business,Business-to-Business,425120,Wholesale Trade Agents and Brokers
beverage_supplier,Business-to-Business,Business-to-Business,425120,Wholesale Trade Agents and Brokers
beauty_product_supplier,Business-to-Business,Business-to-Business,425120,Wholesale Trade Agents and Brokers
