OM_Category_Label,OM_Simplified_Category,OM_Updated_Category,FSQ_Category_ID,FSQ_Category_Label,FSQ_Category_Primary,FSQ_Category_Secondary,Match_Score,Match_Quality
dance_club,Arts & Entertainment,Arts & Entertainment,10012,Arts and Entertainment > Country Dance Club,Arts and Entertainment , Country Dance Club,0.9,High
opera_and_ballet,Arts & Entertainment,Arts & Entertainment,11162,Business and Professional Services > Security and Safety,Business and Professional Services , Security and Safety,0.571,Low
general_festivals,Arts & Entertainment,Arts & Entertainment,11106,Business and Professional Services > Industrial Estate,Business and Professional Services , Industrial Estate,0.529,Low
audio_visual_production_and_design,Arts & Entertainment,Arts & Entertainment,11006,Business and Professional Services > Audiovisual Service,Business and Professional Services , Audiovisual Service,0.566,Low
escape_rooms,Arts & Entertainment,Arts & Entertainment,10015,Arts and Entertainment > Escape Room,Arts and Entertainment , Escape Room,0.957,High
henna_artist,Arts & Entertainment,Arts & Entertainment,15007,Health and Medicine > Dentist,Health and Medicine , Dentist,0.632,Medium
crops_production,Arts & Entertainment,Arts & Entertainment,11028,Business and Professional Services > Construction,Business and Professional Services , Construction,0.571,Low
water_park,Arts & Entertainment,Arts & Entertainment,10055,Arts and Entertainment > Water Park,Arts and Entertainment , Water Park,1.0,High
cultural_center,Arts & Entertainment,Arts & Entertainment,12005,Community and Government > Cultural Center,Community and Government , Cultural Center,1.0,High
choir,Arts & Entertainment,Arts & Entertainment,10009,Arts and Entertainment > Circus,Arts and Entertainment , Circus,0.545,Low
contemporary_art_museum,Arts & Entertainment,Arts & Entertainment,10027,Arts and Entertainment > Museum,Arts and Entertainment , Museum,0.9,High
adult_entertainment,Arts & Entertainment,Arts & Entertainment,10000,Arts and Entertainment,Arts and Entertainment,,0.78,Medium
art_gallery,Arts & Entertainment,Arts & Entertainment,10004,Arts and Entertainment > Art Gallery,Arts and Entertainment , Art Gallery,1.0,High
observatory,Arts & Entertainment,Arts & Entertainment,12081,Community and Government > Observatory,Community and Government , Observatory,1.0,High
festival,Arts & Entertainment,Arts & Entertainment,13037,Dining and Drinking > Cafeteria,Dining and Drinking , Cafeteria,0.588,Low
entertainment_law,Arts & Entertainment,Arts & Entertainment,11035,Business and Professional Services > Entertainment Agency,Business and Professional Services , Entertainment Agency,0.811,High
film_festivals_and_organizations,Arts & Entertainment,Arts & Entertainment,12082,Community and Government > Organization,Community and Government , Organization,0.9,High
computer_museum,Arts & Entertainment,Arts & Entertainment,10027,Arts and Entertainment > Museum,Arts and Entertainment , Museum,0.9,High
planetarium,Arts & Entertainment,Arts & Entertainment,10044,Arts and Entertainment > Planetarium,Arts and Entertainment , Planetarium,1.0,High
amusement_park,Arts & Entertainment,Arts & Entertainment,10001,Arts and Entertainment > Amusement Park,Arts and Entertainment , Amusement Park,1.0,High
orchards_production,Arts & Entertainment,Arts & Entertainment,16020,Landmarks and Outdoors > Historic and Protected Site,Landmarks and Outdoors , Historic and Protected Site,0.522,Low
arts_and_entertainment,Arts & Entertainment,Arts & Entertainment,10000,Arts and Entertainment,Arts and Entertainment,,1.0,High
community_museum,Arts & Entertainment,Arts & Entertainment,10027,Arts and Entertainment > Museum,Arts and Entertainment , Museum,0.9,High
commissioned_artist,Arts & Entertainment,Arts & Entertainment,11170,Business and Professional Services > Telecommunication Service,Business and Professional Services , Telecommunication Service,0.5,Low
video_film_production,Arts & Entertainment,Arts & Entertainment,12009,Community and Government > Education,Community and Government , Education,0.533,Low
recording_and_rehearsal_studio,Arts & Entertainment,Arts & Entertainment,11152,Business and Professional Services > Recording Studio,Business and Professional Services , Recording Studio,0.696,Medium
rodeo,Arts & Entertainment,Arts & Entertainment,19060,Travel and Transportation > Road,Travel and Transportation , Road,0.667,Medium
design_museum,Arts & Entertainment,Arts & Entertainment,10027,Arts and Entertainment > Museum,Arts and Entertainment , Museum,0.9,High
theatre,Arts & Entertainment,Arts & Entertainment,10024,Arts and Entertainment > Movie Theater,Arts and Entertainment , Movie Theater,0.6,Medium
karaoke,Arts & Entertainment,Arts & Entertainment,10021,Arts and Entertainment > Karaoke Box,Arts and Entertainment , Karaoke Box,0.9,High
asian_art_museum,Arts & Entertainment,Arts & Entertainment,10027,Arts and Entertainment > Museum,Arts and Entertainment , Museum,0.9,High
corporate_entertainment_services,Arts & Entertainment,Arts & Entertainment,11036,Business and Professional Services > Entertainment Service,Business and Professional Services , Entertainment Service,0.9,High
qi_gong_studio,Arts & Entertainment,Beauty & Wellness,11030,Business and Professional Services > Design Studio,Business and Professional Services , Design Studio,0.741,Medium
comedy_club,Arts & Entertainment,Arts & Entertainment,10010,Arts and Entertainment > Comedy Club,Arts and Entertainment , Comedy Club,1.0,High
state_museum,Arts & Entertainment,Arts & Entertainment,10027,Arts and Entertainment > Museum,Arts and Entertainment , Museum,0.9,High
drive_in_theater,Arts & Entertainment,Arts & Entertainment,10024,Arts and Entertainment > Movie Theater,Arts and Entertainment , Movie Theater,0.69,Medium
tai_chi_studio,Arts & Entertainment,Beauty & Wellness,11005,Business and Professional Services > Art Studio,Business and Professional Services , Art Studio,0.667,Medium
music_production_services,Arts & Entertainment,Arts & Entertainment,11000,Business and Professional Services,Business and Professional Services,,0.644,Medium
photography_museum,Arts & Entertainment,Arts & Entertainment,10027,Arts and Entertainment > Museum,Arts and Entertainment , Museum,0.9,High
broadcasting_media_production,Arts & Entertainment,Arts & Entertainment,19060,Travel and Transportation > Road,Travel and Transportation , Road,0.9,High
national_museum,Arts & Entertainment,Arts & Entertainment,10027,Arts and Entertainment > Museum,Arts and Entertainment , Museum,0.9,High
theatrical_productions,Arts & Entertainment,Arts & Entertainment,15025,Health and Medicine > Other Healthcare Professional,Health and Medicine , Other Healthcare Professional,0.549,Low
aviation_museum,Arts & Entertainment,Arts & Entertainment,10027,Arts and Entertainment > Museum,Arts and Entertainment , Museum,0.9,High
outdoor_movies,Arts & Entertainment,Arts & Entertainment,11131,Business and Professional Services > Outdoor Event Space,Business and Professional Services , Outdoor Event Space,0.667,Medium
aquarium_services,Arts & Entertainment,Arts & Entertainment,10002,Arts and Entertainment > Aquarium,Arts and Entertainment , Aquarium,0.9,High
decorative_arts_museum,Arts & Entertainment,Arts & Entertainment,10027,Arts and Entertainment > Museum,Arts and Entertainment , Museum,0.9,High
music_production,Arts & Entertainment,Arts & Entertainment,11028,Business and Professional Services > Construction,Business and Professional Services , Construction,0.571,Low
magician,Arts & Entertainment,Arts & Entertainment,15027,Health and Medicine > Physician,Health and Medicine , Physician,0.588,Low
theaters_and_performance_venues,Arts & Entertainment,Arts & Entertainment,10035,Arts and Entertainment > Performing Arts Venue,Arts and Entertainment , Performing Arts Venue,0.538,Low
art_tours,Arts & Entertainment,Arts & Entertainment,11005,Business and Professional Services > Art Studio,Business and Professional Services , Art Studio,0.632,Medium
petting_zoo,Arts & Entertainment,Arts & Entertainment,10056,Arts and Entertainment > Zoo,Arts and Entertainment , Zoo,0.9,High
cinema,Arts & Entertainment,Arts & Entertainment,14008,Event > Line,Event , Line,0.6,Medium
movie_television_studio,Arts & Entertainment,Arts & Entertainment,11030,Business and Professional Services > Design Studio,Business and Professional Services , Design Studio,0.611,Medium
housing_cooperative,Arts & Entertainment,Arts & Entertainment,12079,Community and Government > Housing Development,Community and Government , Housing Development,0.632,Medium
costume_museum,Arts & Entertainment,Arts & Entertainment,10027,Arts and Entertainment > Museum,Arts and Entertainment , Museum,0.9,High
dance_school,Arts & Entertainment,Arts & Entertainment,10013,Arts and Entertainment > Dance Hall,Arts and Entertainment , Dance Hall,0.727,Medium
science_museum,Arts & Entertainment,Arts & Entertainment,10027,Arts and Entertainment > Museum,Arts and Entertainment , Museum,0.9,High
animation_studio,Arts & Entertainment,Arts & Entertainment,11005,Business and Professional Services > Art Studio,Business and Professional Services , Art Studio,0.692,Medium
childrens_museum,Arts & Entertainment,Arts & Entertainment,10027,Arts and Entertainment > Museum,Arts and Entertainment , Museum,0.9,High
music_venue,Arts & Entertainment,Arts & Entertainment,17098,Retail > Music Store,Retail , Music Store,0.636,Medium
art_museum,Arts & Entertainment,Arts & Entertainment,10027,Arts and Entertainment > Museum,Arts and Entertainment , Museum,0.9,High
arcade,Arts & Entertainment,Arts & Entertainment,10003,Arts and Entertainment > Arcade,Arts and Entertainment , Arcade,1.0,High
circus_school,Arts & Entertainment,Arts & Entertainment,10009,Arts and Entertainment > Circus,Arts and Entertainment , Circus,0.9,High
karaoke_rental,Arts & Entertainment,Arts & Entertainment,19002,Travel and Transportation > Bike Rental,Travel and Transportation , Bike Rental,0.72,Medium
military_museum,Arts & Entertainment,Arts & Entertainment,10027,Arts and Entertainment > Museum,Arts and Entertainment , Museum,0.9,High
botanical_garden,Arts & Entertainment,Arts & Entertainment,16005,Landmarks and Outdoors > Botanical Garden,Landmarks and Outdoors , Botanical Garden,1.0,High
fair,Arts & Entertainment,Arts & Entertainment,10017,Arts and Entertainment > Fair,Arts and Entertainment , Fair,1.0,High
drama_school,Arts & Entertainment,Arts & Entertainment,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,0.833,High
bingo_hall,Arts & Entertainment,Arts & Entertainment,11177,Business and Professional Services > Wedding Hall,Business and Professional Services , Wedding Hall,0.727,Medium
modern_art_museum,Arts & Entertainment,Arts & Entertainment,10027,Arts and Entertainment > Museum,Arts and Entertainment , Museum,0.9,High
casino,Arts & Entertainment,Arts & Entertainment,10008,Arts and Entertainment > Casino,Arts and Entertainment , Casino,1.0,High
grain_production,Arts & Entertainment,Arts & Entertainment,12009,Community and Government > Education,Community and Government , Education,0.56,Low
museum,Arts & Entertainment,Arts & Entertainment,10027,Arts and Entertainment > Museum,Arts and Entertainment , Museum,1.0,High
civilization_museum,Arts & Entertainment,Arts & Entertainment,10027,Arts and Entertainment > Museum,Arts and Entertainment , Museum,0.9,High
dinner_theater,Arts & Entertainment,Arts & Entertainment,10024,Arts and Entertainment > Movie Theater,Arts and Entertainment , Movie Theater,0.741,Medium
commercial_vehicle_dealer,Automotive,Automotive,19006,Travel and Transportation > Electric Vehicle Charging Station,Travel and Transportation , Electric Vehicle Charging Station,0.483,Low
emissions_inspection,Automotive,Automotive,18000,Sports and Recreation,Sports and Recreation,,0.537,Low
b2b_forklift_dealers,Automotive,Business-to-Business,10006,Arts and Entertainment > Bowling Alley,Arts and Entertainment , Bowling Alley,0.485,Low
foundation_repair,Automotive,Automotive,17039,Retail > Fashion Retail,Retail , Fashion Retail,0.645,Medium
coin_dealers,Automotive,Automotive,10006,Arts and Entertainment > Bowling Alley,Arts and Entertainment , Bowling Alley,0.56,Low
shoe_repair,Automotive,Automotive,11164,Business and Professional Services > Shoe Repair Service,Business and Professional Services , Shoe Repair Service,0.9,High
hydraulic_repair_service,Automotive,Automotive,11157,Business and Professional Services > Repair Service,Business and Professional Services , Repair Service,0.9,High
trailer_dealer,Automotive,Automotive,12114,Community and Government > Trailer Park,Community and Government , Trailer Park,0.769,Medium
b2b_equipment_maintenance_and_repair,Automotive,Business-to-Business,11037,Business and Professional Services > Equipment Rental Service,Business and Professional Services , Equipment Rental Service,0.5,Low
automotive_parts_and_accessories,Automotive,Automotive,17003,Retail > Arts and Crafts Store,Retail , Arts and Crafts Store,0.566,Low
wheel_and_rim_repair,Automotive,Automotive,15000,Health and Medicine,Health and Medicine,,0.513,Low
auto_customization,Automotive,Automotive,11144,Business and Professional Services > Radio Station,Business and Professional Services , Radio Station,0.645,Medium
auto_glass_service,Automotive,Automotive,11172,Business and Professional Services > Tutoring Service,Business and Professional Services , Tutoring Service,0.706,Medium
forklift_dealer,Automotive,Automotive,11179,Business and Professional Services > Wholesaler,Business and Professional Services , Wholesaler,0.56,Low
car_inspection,Automotive,Automotive,11028,Business and Professional Services > Construction,Business and Professional Services , Construction,0.615,Medium
media_restoration_service,Automotive,Automotive,11004,Business and Professional Services > Art Restoration Service,Business and Professional Services , Art Restoration Service,0.875,High
car_buyer,Automotive,Automotive,19005,Travel and Transportation > Cruise,Travel and Transportation , Cruise,0.533,Low
b2b_truck_equipment_parts_and_accessories,Automotive,Business-to-Business,11032,Business and Professional Services > Electrical Equipment Supplier,Business and Professional Services , Electrical Equipment Supplier,0.486,Low
boat_service_and_repair,Automotive,Automotive,18000,Sports and Recreation,Sports and Recreation,,0.545,Low
motorcycle_rentals,Automotive,Automotive,19003,Travel and Transportation > Boat Rental,Travel and Transportation , Boat Rental,0.621,Medium
car_dealer,Automotive,Automotive,10004,Arts and Entertainment > Art Gallery,Arts and Entertainment , Art Gallery,0.667,Medium
truck_rentals,Automotive,Automotive,19002,Travel and Transportation > Bike Rental,Travel and Transportation , Bike Rental,0.667,Medium
motorcycle_dealer,Automotive,Automotive,11117,Business and Professional Services > Lottery Retailer,Business and Professional Services , Lottery Retailer,0.545,Low
recreation_vehicle_repair,Automotive,Automotive,18048,Sports and Recreation > Recreation Center,Sports and Recreation , Recreation Center,0.667,Medium
mobile_home_dealer,Automotive,Automotive,10024,Arts and Entertainment > Movie Theater,Arts and Entertainment , Movie Theater,0.645,Medium
car_wash,Automotive,Automotive,10007,Arts and Entertainment > Carnival,Arts and Entertainment , Carnival,0.5,Low
brake_service_and_repair,Automotive,Automotive,11184,Business and Professional Services > Creative Service,Business and Professional Services , Creative Service,0.55,Low
automation_services,Automotive,Automotive,11009,Business and Professional Services > Automotive Service,Business and Professional Services , Automotive Service,0.811,High
automotive_wheel_polishing_service,Automotive,Automotive,11009,Business and Professional Services > Automotive Service,Business and Professional Services , Automotive Service,0.692,Medium
exhaust_and_muffler_repair,Automotive,Automotive,17023,Retail > Computers and Electronics Retail,Retail , Computers and Electronics Retail,0.517,Low
car_broker,Automotive,Automotive,17037,Retail > Eyecare Store,Retail , Eyecare Store,0.522,Low
car_window_tinting,Automotive,Automotive,19000,Travel and Transportation,Travel and Transportation,,0.465,Low
department_of_motor_vehicles,Automotive,Automotive,17033,Retail > Department Store,Retail , Department Store,0.682,Medium
tire_dealer_and_repair,Automotive,Automotive,19000,Travel and Transportation,Travel and Transportation,,0.553,Low
towing_service,Automotive,Automotive,11172,Business and Professional Services > Tutoring Service,Business and Professional Services , Tutoring Service,0.867,High
jewelry_repair_service,Automotive,Automotive,11157,Business and Professional Services > Repair Service,Business and Professional Services , Repair Service,0.9,High
car_rental_agency,Automotive,Automotive,19055,Travel and Transportation > Travel Agency,Travel and Transportation , Travel Agency,0.667,Medium
inspection_services,Automotive,Automotive,11171,Business and Professional Services > Translation Service,Business and Professional Services , Translation Service,0.737,Medium
truck_dealer,Automotive,Automotive,10053,Arts and Entertainment > Ticket Seller,Arts and Entertainment , Ticket Seller,0.64,Medium
bike_repair_maintenance,Automotive,Automotive,19002,Travel and Transportation > Bike Rental,Travel and Transportation , Bike Rental,0.588,Low
mobile_home_repair,Automotive,Automotive,11123,Business and Professional Services > Mobile Company,Business and Professional Services , Mobile Company,0.688,Medium
trucks_and_industrial_vehicles,Automotive,Automotive,12091,Community and Government > Public and Social Service,Community and Government , Public and Social Service,0.582,Low
automotive_services_and_repair,Automotive,Automotive,11009,Business and Professional Services > Automotive Service,Business and Professional Services , Automotive Service,0.9,High
truck_repair,Automotive,Automotive,19057,Travel and Transportation > Truck Stop,Travel and Transportation , Truck Stop,0.636,Medium
clock_repair_service,Automotive,Automotive,11157,Business and Professional Services > Repair Service,Business and Professional Services , Repair Service,0.9,High
b2b_autos_and_vehicles,Automotive,Business-to-Business,16061,Landmarks and Outdoors > States and Municipalities,Landmarks and Outdoors , States and Municipalities,0.553,Low
fire_and_water_damage_restoration,Automotive,Automotive,16056,Landmarks and Outdoors > Dam,Landmarks and Outdoors , Dam,0.9,High
auto_security,Automotive,Automotive,17004,Retail > Auction House,Retail , Auction House,0.538,Low
motorcycle_gear,Automotive,Automotive,12114,Community and Government > Trailer Park,Community and Government , Trailer Park,0.519,Low
car_stereo_installation,Automotive,Automotive,11028,Business and Professional Services > Construction,Business and Professional Services , Construction,0.514,Low
farm_equipment_repair_service,Automotive,Automotive,11157,Business and Professional Services > Repair Service,Business and Professional Services , Repair Service,0.9,High
auto_detailing,Automotive,Automotive,17005,Retail > Automotive Retail,Retail , Automotive Retail,0.645,Medium
car_auction,Automotive,Automotive,11028,Business and Professional Services > Construction,Business and Professional Services , Construction,0.696,Medium
boat_dealer,Automotive,Automotive,19003,Travel and Transportation > Boat Rental,Travel and Transportation , Boat Rental,0.727,Medium
it_service_and_computer_repair,Automotive,Automotive,11027,Business and Professional Services > Computer Repair Service,Business and Professional Services , Computer Repair Service,0.566,Low
truck_dealer_for_businesses,Automotive,Automotive,11108,Business and Professional Services > Technology Business > IT Service,Business and Professional Services , Technology Business ,0.565,Low
automotive_repair,Automotive,Automotive,17005,Retail > Automotive Retail,Retail , Automotive Retail,0.882,High
home_automation,Automotive,Automotive,19007,Travel and Transportation > Fuel Station,Travel and Transportation , Fuel Station,0.593,Low
hybrid_car_repair,Automotive,Automotive,11025,Business and Professional Services > Child Care Service,Business and Professional Services , Child Care Service,0.571,Low
furniture_repair,Automotive,Automotive,17082,Retail > Furniture and Home Store,Retail , Furniture and Home Store,0.6,Medium
diamond_dealer,Automotive,Automotive,10024,Arts and Entertainment > Movie Theater,Arts and Entertainment , Movie Theater,0.519,Low
automotive,Automotive,Automotive,11009,Business and Professional Services > Automotive Service,Business and Professional Services , Automotive Service,0.9,High
auto_loan_provider,Automotive,Automotive,17004,Retail > Auction House,Retail , Auction House,0.516,Low
aircraft_repair,Automotive,Automotive,17003,Retail > Arts and Crafts Store,Retail , Arts and Crafts Store,0.556,Low
used_car_dealer,Automotive,Automotive,15053,Health and Medicine > Urgent Care Center,Health and Medicine , Urgent Care Center,0.606,Medium
retirement_home,Automotive,Automotive,12095,Community and Government > Retirement Home,Community and Government , Retirement Home,1.0,High
automotive_dealer,Automotive,Automotive,17005,Retail > Automotive Retail,Retail , Automotive Retail,0.824,High
water_heater_installation_repair,Automotive,Automotive,11158,Business and Professional Services > Research Station,Business and Professional Services , Research Station,0.5,Low
motorsport_vehicle_repair,Automotive,Automotive,19023,Travel and Transportation > Port,Travel and Transportation , Port,0.9,High
art_restoration_service,Automotive,Automotive,11004,Business and Professional Services > Art Restoration Service,Business and Professional Services , Art Restoration Service,1.0,High
vehicle_wrap,Automotive,Automotive,15017,Health and Medicine > Medical Lab,Health and Medicine , Medical Lab,0.522,Low
mobile_phone_repair,Automotive,Automotive,11123,Business and Professional Services > Mobile Company,Business and Professional Services , Mobile Company,0.606,Medium
recreational_vehicle_parts_and_accessories,Automotive,Automotive,11154,Business and Professional Services > Refrigeration and Ice Supplier,Business and Professional Services , Refrigeration and Ice Supplier,0.528,Low
b2b_tires,Automotive,Business-to-Business,17014,Retail > Baby Store,Retail , Baby Store,0.632,Medium
washer_and_dryer_repair_service,Automotive,Automotive,11157,Business and Professional Services > Repair Service,Business and Professional Services , Repair Service,0.9,High
