OM_CATEGORY_LABEL,OM_SIMPLIFIED_CATEGORY,OM_UPDATED_CATEGORY,FSQ_CATEGORY_ID,FSQ_CATEGORY_LABEL,FSQ_CATEGORY_PRIMARY,FSQ_CATEGORY_SECONDARY,MATCH_SCORE,MATCHED_TEXT,ALTERNATES
ambulance_and_ems_services,Other Services,Healthcare & Medical,10012,Arts and Entertainment > Country Dance Club,Arts and Entertainment , Country Dance Club,85.5,arts and entertainment country dance club,Arts and Entertainment > Country Dance Club (ID 10012) [85.5]; Arts and Entertainment > Disc Golf Course (ID 10014) [85.5]; Arts and Entertainment > Laser Tag Center (ID 10022) [85.5]; Arts and Entertainment > Mini Golf Course (ID 10023) [85.5]; Arts and Entertainment > Movie Theater > Drive-in Theater (ID 10025) [85.5]
cheerleading,Other Services,Other Services,19009,Travel and Transportation > Lodging,Travel and Transportation , Lodging,65.45454545454547,lodging,Travel and Transportation > Lodging (ID 19009) [65.45454545454547]; Arts and Entertainment > Performing Arts Venue > Theater (ID 10043) [60.00000000000001]; Business and Professional Services > Food and Beverage Service > Caterer (ID 11057) [60.00000000000001]; Business and Professional Services > Welding Service (ID 11178) [60.00000000000001]; Dining and Drinking > Creperie (ID 13041) [60.00000000000001]
tv_mounting,Other Services,Other Services,11173,Business and Professional Services > TV Station,Business and Professional Services , TV Station,85.5,business and professional services tv station,"Business and Professional Services > TV Station (ID 11173) [85.5]; Business and Professional Services > Print, TV, Radio and Outdoor Advertising Service (ID 11189) [85.5]; Landmarks and Outdoors > Mountain (ID 16027) [73.6842105263158]; Business and Professional Services > Financial Service > Accounting and Bookkeeping Service (ID 11043) [65.45454545454547]; Landmarks and Outdoors > Mountain Hut (ID 16059) [65.45454545454547]"
weather_forecast_services,Other Services,Other Services,11001,Business and Professional Services > Advertising Agency,Business and Professional Services , Advertising Agency,85.5,business and professional services advertising agency,Business and Professional Services > Advertising Agency (ID 11001) [85.5]; Business and Professional Services > Agriculture and Forestry Service (ID 11002) [85.5]; Business and Professional Services > Architecture Firm (ID 11003) [85.5]; Business and Professional Services > Art Restoration Service (ID 11004) [85.5]; Business and Professional Services > Art Studio (ID 11005) [85.5]
phlebologist,Other Services,Other Services,15044,Health and Medicine > Physician > Pathologist,Health and Medicine , Physician ,78.26086956521739,pathologist,Health and Medicine > Physician > Pathologist (ID 15044) [78.26086956521739]; Health and Medicine > Mental Health Service > Psychologist (ID 15020) [75.0]; Health and Medicine > Physician > Ophthalmologist (ID 15041) [74.07407407407408]; Health and Medicine > Physician > Anesthesiologist (ID 15028) [70.43478260869566]; Health and Medicine > Physician > Neurologist (ID 15038) [69.56521739130434]
travel_services,Other Services,Other Services,11000,Business and Professional Services,Business and Professional Services,,85.5,business and professional services,Business and Professional Services (ID 11000) [85.5]; Business and Professional Services > Advertising Agency (ID 11001) [85.5]; Business and Professional Services > Agriculture and Forestry Service (ID 11002) [85.5]; Business and Professional Services > Architecture Firm (ID 11003) [85.5]; Business and Professional Services > Art Restoration Service (ID 11004) [85.5]
video_and_video_game_rentals,Other Services,Other Services,10025,Arts and Entertainment > Movie Theater > Drive-in Theater,Arts and Entertainment , Movie Theater ,85.5,arts and entertainment movie theater drive in theater,Arts and Entertainment > Movie Theater > Drive-in Theater (ID 10025) [85.5]; Arts and Entertainment > Movie Theater > Indie Movie Theater (ID 10026) [85.5]; Arts and Entertainment > Museum > Erotic Museum (ID 10029) [85.5]; Arts and Entertainment > Museum > History Museum (ID 10030) [85.5]; Arts and Entertainment > Museum > Science Museum (ID 10031) [85.5]
shipping_collection_services,Other Services,Other Services,11001,Business and Professional Services > Advertising Agency,Business and Professional Services , Advertising Agency,85.5,business and professional services advertising agency,Business and Professional Services > Advertising Agency (ID 11001) [85.5]; Business and Professional Services > Agriculture and Forestry Service (ID 11002) [85.5]; Business and Professional Services > Architecture Firm (ID 11003) [85.5]; Business and Professional Services > Art Restoration Service (ID 11004) [85.5]; Business and Professional Services > Art Studio (ID 11005) [85.5]
mortuary_services,Other Services,Other Services,11000,Business and Professional Services,Business and Professional Services,,85.5,business and professional services,Business and Professional Services (ID 11000) [85.5]; Business and Professional Services > Advertising Agency (ID 11001) [85.5]; Business and Professional Services > Agriculture and Forestry Service (ID 11002) [85.5]; Business and Professional Services > Architecture Firm (ID 11003) [85.5]; Business and Professional Services > Art Restoration Service (ID 11004) [85.5]
private_investigation,Other Services,Other Services,12061,Community and Government > Education > Private School,Community and Government , Education ,85.5,community and government education private school,Community and Government > Education > Private School (ID 12061) [85.5]; Community and Government > Residential Building > Home (private) (ID 12123) [85.5]; Travel and Transportation > Transport Hub > Airport > Private Airport (ID 19041) [85.5]; Business and Professional Services > TV Station (ID 11173) [68.4]; Travel and Transportation > Lodging > Inn (ID 19015) [68.4]
tower,Other Services,Other Services,11142,Business and Professional Services > Power Plant,Business and Professional Services , Power Plant,76.0,power plant,Business and Professional Services > Power Plant (ID 11142) [76.0]; Retail > Flower Store (ID 17056) [72.0]; Arts and Entertainment > Bingo Center (ID 10005) [67.5]; Arts and Entertainment > Laser Tag Center (ID 10022) [67.5]; Arts and Entertainment > Movie Theater (ID 10024) [67.5]
paint_and_sip,Other Services,Other Services,10000,Arts and Entertainment,Arts and Entertainment,,85.5,arts and entertainment,Arts and Entertainment (ID 10000) [85.5]; Arts and Entertainment > Amusement Park (ID 10001) [85.5]; Arts and Entertainment > Aquarium (ID 10002) [85.5]; Arts and Entertainment > Arcade (ID 10003) [85.5]; Arts and Entertainment > Art Gallery (ID 10004) [85.5]
pool_and_billiards,Other Services,Other Services,10001,Arts and Entertainment > Amusement Park,Arts and Entertainment , Amusement Park,85.5,arts and entertainment amusement park,Arts and Entertainment > Amusement Park (ID 10001) [85.5]; Arts and Entertainment > Aquarium (ID 10002) [85.5]; Arts and Entertainment > Arcade (ID 10003) [85.5]; Arts and Entertainment > Art Gallery (ID 10004) [85.5]; Arts and Entertainment > Bingo Center (ID 10005) [85.5]
geriatric_psychiatry,Other Services,Healthcare & Medical,15036,Health and Medicine > Physician > Geriatric Doctor,Health and Medicine , Physician ,85.5,health and medicine physician geriatric doctor,Health and Medicine > Physician > Geriatric Doctor (ID 15036) [85.5]; Health and Medicine > Physician > Psychiatrist (ID 15047) [73.63636363636364]; Business and Professional Services > Factory (ID 11040) [65.45454545454547]; Community and Government > Organization > Charity (ID 12083) [64.28571428571429]; Business and Professional Services > Financial Service > Banking and Finance > ATM (ID 11044) [60.00000000000001]
money_transfer_services,Other Services,Financial Services,11001,Business and Professional Services > Advertising Agency,Business and Professional Services , Advertising Agency,85.5,business and professional services advertising agency,Business and Professional Services > Advertising Agency (ID 11001) [85.5]; Business and Professional Services > Agriculture and Forestry Service (ID 11002) [85.5]; Business and Professional Services > Architecture Firm (ID 11003) [85.5]; Business and Professional Services > Art Restoration Service (ID 11004) [85.5]; Business and Professional Services > Art Studio (ID 11005) [85.5]
surgical_appliances_and_supplies,Other Services,Healthcare & Medical,10025,Arts and Entertainment > Movie Theater > Drive-in Theater,Arts and Entertainment , Movie Theater ,85.5,arts and entertainment movie theater drive in theater,Arts and Entertainment > Movie Theater > Drive-in Theater (ID 10025) [85.5]; Arts and Entertainment > Movie Theater > Indie Movie Theater (ID 10026) [85.5]; Arts and Entertainment > Performing Arts Venue > Amphitheater (ID 10036) [85.5]; Arts and Entertainment > Performing Arts Venue > Concert Hall (ID 10037) [85.5]; Arts and Entertainment > Performing Arts Venue > Indie Theater (ID 10038) [85.5]
digitizing_services,Other Services,Other Services,11000,Business and Professional Services,Business and Professional Services,,85.5,business and professional services,Business and Professional Services (ID 11000) [85.5]; Business and Professional Services > Advertising Agency (ID 11001) [85.5]; Business and Professional Services > Agriculture and Forestry Service (ID 11002) [85.5]; Business and Professional Services > Architecture Firm (ID 11003) [85.5]; Business and Professional Services > Art Restoration Service (ID 11004) [85.5]
drinking_water_dispenser,Other Services,Other Services,10055,Arts and Entertainment > Water Park,Arts and Entertainment , Water Park,85.5,water park,Arts and Entertainment > Water Park (ID 10055) [85.5]; Business and Professional Services > Water Treatment Service (ID 11176) [85.5]; Dining and Drinking > Bar > Apres Ski Bar (ID 13004) [85.5]; Dining and Drinking > Bar > Champagne Bar (ID 13008) [85.5]; Dining and Drinking > Bar > Cocktail Bar (ID 13009) [85.5]
computer_hardware_company,Other Services,Other Services,11027,Business and Professional Services > Computer Repair Service,Business and Professional Services , Computer Repair Service,85.5,business and professional services computer repair service,Business and Professional Services > Computer Repair Service (ID 11027) [85.5]; Business and Professional Services > Mobile Company (ID 11123) [85.5]; Business and Professional Services > Real Estate Service > Real Estate Development and Title Company (ID 11151) [85.5]; Business and Professional Services > Technology Business > Software Company (ID 11168) [85.5]; Community and Government > Education > Computer Training School (ID 12049) [85.5]
dance_wear,Other Services,Other Services,10012,Arts and Entertainment > Country Dance Club,Arts and Entertainment , Country Dance Club,85.5,arts and entertainment country dance club,Arts and Entertainment > Country Dance Club (ID 10012) [85.5]; Arts and Entertainment > Dance Hall (ID 10013) [85.5]; Retail > Dance Store (ID 17032) [85.5]; Sports and Recreation > Gym and Studio > Dance Studio (ID 18025) [85.5]; Dining and Drinking > Bar (ID 13003) [72.0]
session_photography,Other Services,Arts & Entertainment,11137,Business and Professional Services > Photography Service,Business and Professional Services , Photography Service,85.5,business and professional services photography service,Business and Professional Services > Photography Service (ID 11137) [85.5]; Business and Professional Services > Photography Service > Photographer (ID 11138) [85.5]; Business and Professional Services > Photography Service > Photography Lab (ID 11139) [85.5]; Business and Professional Services > Photography Service > Photography Studio (ID 11140) [85.5]; Travel and Transportation > Port (ID 19023) [67.5]
house_sitting,Other Services,Other Services,10042,Arts and Entertainment > Performing Arts Venue > Opera House,Arts and Entertainment , Performing Arts Venue ,85.5,arts and entertainment performing arts venue opera house,Arts and Entertainment > Performing Arts Venue > Opera House (ID 10042) [85.5]; Business and Professional Services > Health and Beauty Service > Bath House (ID 11063) [85.5]; Business and Professional Services > Pet Service > Pet Sitting and Boarding Service (ID 11135) [85.5]; Community and Government > Education > College and University > Fraternity House (ID 12043) [85.5]; Community and Government > Education > College and University > Sorority House (ID 12046) [85.5]
mailbox_center,Other Services,Other Services,10005,Arts and Entertainment > Bingo Center,Arts and Entertainment , Bingo Center,85.5,arts and entertainment bingo center,Arts and Entertainment > Bingo Center (ID 10005) [85.5]; Arts and Entertainment > Laser Tag Center (ID 10022) [85.5]; Arts and Entertainment > Party Center (ID 10034) [85.5]; Business and Professional Services > Business Center (ID 11021) [85.5]; Business and Professional Services > Convention Center (ID 11029) [85.5]
gerontologist,Other Services,Healthcare & Medical,15040,Health and Medicine > Physician > Oncologist,Health and Medicine , Physician ,78.26086956521739,oncologist,Health and Medicine > Physician > Oncologist (ID 15040) [78.26086956521739]; Health and Medicine > Physician > Gastroenterologist (ID 15034) [77.41935483870968]; Health and Medicine > Physician > Dermatologist (ID 15030) [76.92307692307692]; Health and Medicine > Physician > Neurologist (ID 15038) [75.0]; Health and Medicine > Physician > Urologist (ID 15050) [72.72727272727273]
holiday_rental_home,Other Services,Other Services,11037,Business and Professional Services > Equipment Rental Service,Business and Professional Services , Equipment Rental Service,85.5,business and professional services equipment rental service,Business and Professional Services > Equipment Rental Service (ID 11037) [85.5]; Business and Professional Services > Funeral Home (ID 11059) [85.5]; Business and Professional Services > Home Improvement Service (ID 11076) [85.5]; Business and Professional Services > Home Improvement Service > Bathroom Contractor (ID 11077) [85.5]; Business and Professional Services > Home Improvement Service > Carpenter (ID 11078) [85.5]
wood_and_pulp,Other Services,Other Services,10000,Arts and Entertainment,Arts and Entertainment,,85.5,arts and entertainment,Arts and Entertainment (ID 10000) [85.5]; Arts and Entertainment > Amusement Park (ID 10001) [85.5]; Arts and Entertainment > Aquarium (ID 10002) [85.5]; Arts and Entertainment > Arcade (ID 10003) [85.5]; Arts and Entertainment > Art Gallery (ID 10004) [85.5]
props,Other Services,Other Services,11148,Business and Professional Services > Real Estate Service > Property Management Office,Business and Professional Services , Real Estate Service ,80.0,property management office,Business and Professional Services > Real Estate Service > Property Management Office (ID 11148) [80.0]; Retail > Pop-Up Store (ID 17111) [68.4]; Sports and Recreation > Skydiving Center > Skydiving Drop Zone (ID 18082) [68.4]; Business and Professional Services > Home Improvement Service > Professional Cleaning Service (ID 11097) [67.5]; Business and Professional Services > Promotional Item Service (ID 11190) [67.5]
casting_molding_and_machining,Other Services,Other Services,10025,Arts and Entertainment > Movie Theater > Drive-in Theater,Arts and Entertainment , Movie Theater ,85.5,arts and entertainment movie theater drive in theater,Arts and Entertainment > Movie Theater > Drive-in Theater (ID 10025) [85.5]; Arts and Entertainment > Movie Theater > Indie Movie Theater (ID 10026) [85.5]; Arts and Entertainment > Museum > History Museum (ID 10030) [85.5]; Arts and Entertainment > Museum > Science Museum (ID 10031) [85.5]; Arts and Entertainment > Performing Arts Venue (ID 10035) [85.5]
osteopath,Other Services,Healthcare & Medical,19013,Travel and Transportation > Lodging > Hostel,Travel and Transportation , Lodging ,72.0,hostel,Travel and Transportation > Lodging > Hostel (ID 19013) [72.0]; Business and Professional Services > Financial Service > Banking and Finance > ATM (ID 11044) [60.00000000000001]; Business and Professional Services > Health and Beauty Service > Spa (ID 11073) [60.00000000000001]; Health and Medicine > Physician > Obstetrician Gynecologist (Ob-gyn) (ID 15039) [60.00000000000001]; Landmarks and Outdoors > Forest (ID 16015) [60.00000000000001]
bottled_water_company,Other Services,Other Services,10055,Arts and Entertainment > Water Park,Arts and Entertainment , Water Park,85.5,arts and entertainment water park,Arts and Entertainment > Water Park (ID 10055) [85.5]; Business and Professional Services > Mobile Company (ID 11123) [85.5]; Business and Professional Services > Real Estate Service > Real Estate Development and Title Company (ID 11151) [85.5]; Business and Professional Services > Technology Business > Software Company (ID 11168) [85.5]; Business and Professional Services > Water Treatment Service (ID 11176) [85.5]
process_servers,Other Services,Other Services,16043,Landmarks and Outdoors > River,Landmarks and Outdoors , River,72.0,river,Landmarks and Outdoors > River (ID 16043) [72.0]; Business and Professional Services > Human Resources Agency (ID 11103) [67.17857142857143]; Landmarks and Outdoors > Nature Preserve (ID 16028) [62.608695652173914]; Business and Professional Services > Business Service (ID 11182) [62.30769230769231]; Community and Government > Government Building > Law Enforcement and Public Safety > Rescue Service (ID 12119) [62.06896551724138]
lottery_ticket,Other Services,Other Services,10053,Arts and Entertainment > Ticket Seller,Arts and Entertainment , Ticket Seller,85.5,arts and entertainment ticket seller,Arts and Entertainment > Ticket Seller (ID 10053) [85.5]; Business and Professional Services > Lottery Retailer (ID 11117) [85.5]; Travel and Transportation > Transport Hub > Airport > Airport Ticket Counter (ID 19070) [85.5]; Business and Professional Services > Legal Service > Notary (ID 11114) [60.00000000000001]; Retail > Market (ID 17144) [60.00000000000001]
cremation_services,Other Services,Other Services,11000,Business and Professional Services,Business and Professional Services,,85.5,business and professional services,Business and Professional Services (ID 11000) [85.5]; Business and Professional Services > Advertising Agency (ID 11001) [85.5]; Business and Professional Services > Agriculture and Forestry Service (ID 11002) [85.5]; Business and Professional Services > Architecture Firm (ID 11003) [85.5]; Business and Professional Services > Art Restoration Service (ID 11004) [85.5]
crane_services,Other Services,Other Services,11000,Business and Professional Services,Business and Professional Services,,85.5,business and professional services,Business and Professional Services (ID 11000) [85.5]; Business and Professional Services > Advertising Agency (ID 11001) [85.5]; Business and Professional Services > Agriculture and Forestry Service (ID 11002) [85.5]; Business and Professional Services > Architecture Firm (ID 11003) [85.5]; Business and Professional Services > Art Restoration Service (ID 11004) [85.5]
billing_services,Other Services,Other Services,11000,Business and Professional Services,Business and Professional Services,,85.5,business and professional services,Business and Professional Services (ID 11000) [85.5]; Business and Professional Services > Advertising Agency (ID 11001) [85.5]; Business and Professional Services > Agriculture and Forestry Service (ID 11002) [85.5]; Business and Professional Services > Architecture Firm (ID 11003) [85.5]; Business and Professional Services > Art Restoration Service (ID 11004) [85.5]
duplication_services,Other Services,Other Services,11000,Business and Professional Services,Business and Professional Services,,85.5,business and professional services,Business and Professional Services (ID 11000) [85.5]; Business and Professional Services > Advertising Agency (ID 11001) [85.5]; Business and Professional Services > Agriculture and Forestry Service (ID 11002) [85.5]; Business and Professional Services > Architecture Firm (ID 11003) [85.5]; Business and Professional Services > Art Restoration Service (ID 11004) [85.5]
fencing_club,Other Services,Other Services,10010,Arts and Entertainment > Comedy Club,Arts and Entertainment , Comedy Club,85.5,arts and entertainment comedy club,Arts and Entertainment > Comedy Club (ID 10010) [85.5]; Arts and Entertainment > Country Club (ID 10011) [85.5]; Arts and Entertainment > Country Dance Club (ID 10012) [85.5]; Arts and Entertainment > Night Club (ID 10032) [85.5]; Arts and Entertainment > Performing Arts Venue > Music Venue > Rock Club (ID 10041) [85.5]
packing_supply,Other Services,Other Services,17086,Retail > Furniture and Home Store > Kitchen Supply Store,Retail , Furniture and Home Store ,85.5,retail furniture and home store kitchen supply store,Retail > Furniture and Home Store > Kitchen Supply Store (ID 17086) [85.5]; Retail > Medical Supply Store (ID 17095) [85.5]; Retail > Office Supply Store (ID 17102) [85.5]; Retail > Outdoor Supply Store (ID 17103) [85.5]; Retail > Packaging Supply Store (ID 17106) [85.5]
refinishing_services,Other Services,Other Services,11000,Business and Professional Services,Business and Professional Services,,85.5,business and professional services,Business and Professional Services (ID 11000) [85.5]; Business and Professional Services > Advertising Agency (ID 11001) [85.5]; Business and Professional Services > Agriculture and Forestry Service (ID 11002) [85.5]; Business and Professional Services > Architecture Firm (ID 11003) [85.5]; Business and Professional Services > Art Restoration Service (ID 11004) [85.5]
officiating_services,Other Services,Other Services,11000,Business and Professional Services,Business and Professional Services,,85.5,business and professional services,Business and Professional Services (ID 11000) [85.5]; Business and Professional Services > Advertising Agency (ID 11001) [85.5]; Business and Professional Services > Agriculture and Forestry Service (ID 11002) [85.5]; Business and Professional Services > Architecture Firm (ID 11003) [85.5]; Business and Professional Services > Art Restoration Service (ID 11004) [85.5]
indoor_playcenter,Other Services,Other Services,18035,Sports and Recreation > Indoor Play Area,Sports and Recreation , Indoor Play Area,85.5,sports and recreation indoor play area,Sports and Recreation > Indoor Play Area (ID 18035) [85.5]; Landmarks and Outdoors > Palace (ID 16031) [75.00000000000001]; Business and Professional Services > Home Improvement Service > Carpenter (ID 11078) [72.0]; Travel and Transportation > Lodging > Inn (ID 19015) [72.0]; Arts and Entertainment > Bingo Center (ID 10005) [68.96551724137932]
knife_sharpening,Other Services,Other Services,11073,Business and Professional Services > Health and Beauty Service > Spa,Business and Professional Services , Health and Beauty Service ,60.00000000000001,spa,Business and Professional Services > Health and Beauty Service > Spa (ID 11073) [60.00000000000001]; Community and Government > Spiritual Center > Shrine (ID 12108) [60.00000000000001]; Dining and Drinking > Bar (ID 13003) [60.00000000000001]; Landmarks and Outdoors > Garden (ID 16017) [60.00000000000001]; Travel and Transportation > Lodging > Inn (ID 19015) [60.00000000000001]
baby_gear_and_furniture,Other Services,Other Services,10001,Arts and Entertainment > Amusement Park,Arts and Entertainment , Amusement Park,85.5,arts and entertainment amusement park,Arts and Entertainment > Amusement Park (ID 10001) [85.5]; Arts and Entertainment > Bingo Center (ID 10005) [85.5]; Arts and Entertainment > Bowling Alley (ID 10006) [85.5]; Arts and Entertainment > Country Club (ID 10011) [85.5]; Arts and Entertainment > Country Dance Club (ID 10012) [85.5]
pets,Other Services,Other Services,11095,Business and Professional Services > Home Improvement Service > Pest Control Service,Business and Professional Services , Home Improvement Service ,77.14285714285715,pest control service,Business and Professional Services > Home Improvement Service > Pest Control Service (ID 11095) [77.14285714285715]; Business and Professional Services > Pet Service (ID 11133) [77.14285714285715]; Business and Professional Services > Pet Service > Pet Grooming Service (ID 11134) [77.14285714285715]; Business and Professional Services > Pet Service > Pet Sitting and Boarding Service (ID 11135) [77.14285714285715]; Business and Professional Services > Petroleum Supplier (ID 11136) [77.14285714285715]
collection_agencies,Other Services,Financial Services,11049,Business and Professional Services > Financial Service > Collections Service,Business and Professional Services , Financial Service ,73.6842105263158,collections service,Business and Professional Services > Financial Service > Collections Service (ID 11049) [73.6842105263158]; Community and Government > Education (ID 12009) [68.4]; Landmarks and Outdoors > States and Municipalities > Town (ID 16067) [67.5]; Event > Convention (ID 14002) [63.0]; Business and Professional Services > Financial Service > Loans Agency (ID 11054) [62.608695652173914]
international_business_and_trade_services,Other Services,Other Services,10000,Arts and Entertainment,Arts and Entertainment,,85.5,arts and entertainment,Arts and Entertainment (ID 10000) [85.5]; Arts and Entertainment > Fair (ID 10017) [85.5]; Arts and Entertainment > Performing Arts Venue > Music Venue > Jazz and Blues Venue (ID 10040) [85.5]; Arts and Entertainment > Performing Arts Venue > Music Venue > Rock Club (ID 10041) [85.5]; Arts and Entertainment > Psychic and Astrologer (ID 10046) [85.5]
pool_billiards,Other Services,Other Services,10045,Arts and Entertainment > Pool Hall,Arts and Entertainment , Pool Hall,85.5,arts and entertainment pool hall,Arts and Entertainment > Pool Hall (ID 10045) [85.5]; Business and Professional Services > Home Improvement Service > Swimming Pool Maintenance and Service (ID 11100) [85.5]; Retail > Swimming Pool Supply Store (ID 17133) [85.5]; Sports and Recreation > Water Sports > Swimming > Swimming Pool (ID 18075) [85.5]; Sports and Recreation > Gym and Studio > Gym Pool (ID 18078) [85.5]
trivia_host,Other Services,Other Services,19013,Travel and Transportation > Lodging > Hostel,Travel and Transportation , Lodging ,72.0,hostel,Travel and Transportation > Lodging > Hostel (ID 19013) [72.0]; Travel and Transportation > Train (ID 19066) [67.5]; Health and Medicine > Physician > Obstetrician Gynecologist (Ob-gyn) (ID 15039) [62.18181818181819]; Health and Medicine > Nutritionist (ID 15023) [60.86956521739131]; Landmarks and Outdoors > Forest (ID 16015) [60.00000000000001]
piano_services,Other Services,Other Services,11000,Business and Professional Services,Business and Professional Services,,85.5,business and professional services,Business and Professional Services (ID 11000) [85.5]; Business and Professional Services > Advertising Agency (ID 11001) [85.5]; Business and Professional Services > Agriculture and Forestry Service (ID 11002) [85.5]; Business and Professional Services > Architecture Firm (ID 11003) [85.5]; Business and Professional Services > Art Restoration Service (ID 11004) [85.5]
fire_protection_service,Other Services,Other Services,11002,Business and Professional Services > Agriculture and Forestry Service,Business and Professional Services , Agriculture and Forestry Service,85.5,business and professional services agriculture and forestry service,Business and Professional Services > Agriculture and Forestry Service (ID 11002) [85.5]; Business and Professional Services > Art Restoration Service (ID 11004) [85.5]; Business and Professional Services > Audiovisual Service (ID 11006) [85.5]; Business and Professional Services > Automotive Service (ID 11009) [85.5]; Business and Professional Services > Automotive Service > Automotive Repair Shop (ID 11010) [85.5]
irrigation,Other Services,Other Services,11154,Business and Professional Services > Refrigeration and Ice Supplier,Business and Professional Services , Refrigeration and Ice Supplier,72.0,business and professional services refrigeration and ice supplier,Business and Professional Services > Refrigeration and Ice Supplier (ID 11154) [72.0]; Landmarks and Outdoors > States and Municipalities > Town (ID 16067) [67.5]; Business and Professional Services > Legal Service > Immigration Attorney (ID 11113) [66.50000000000001]; Community and Government > Government Building > Law Enforcement and Public Safety > Fire Station (ID 12071) [63.63636363636363]; Community and Government > Organization (ID 12082) [63.63636363636363]
goldsmith,Other Services,Other Services,18016,Sports and Recreation > Golf,Sports and Recreation , Golf,77.14285714285715,golf,Sports and Recreation > Golf (ID 18016) [77.14285714285715]; Business and Professional Services > Locksmith (ID 11115) [66.66666666666667]; Landmarks and Outdoors > Dam (ID 16056) [60.00000000000001]; Retail > Sporting Goods Retail > Hunting Supply Store (ID 17124) [53.4375]; Sports and Recreation > Golf > Golf Driving Range (ID 18019) [52.94117647058824]
hot_tubs_and_pools,Other Services,Other Services,10001,Arts and Entertainment > Amusement Park,Arts and Entertainment , Amusement Park,85.5,arts and entertainment amusement park,Arts and Entertainment > Amusement Park (ID 10001) [85.5]; Arts and Entertainment > Aquarium (ID 10002) [85.5]; Arts and Entertainment > Arcade (ID 10003) [85.5]; Arts and Entertainment > Art Gallery (ID 10004) [85.5]; Arts and Entertainment > Bingo Center (ID 10005) [85.5]
farrier_services,Other Services,Other Services,11000,Business and Professional Services,Business and Professional Services,,85.5,business and professional services,Business and Professional Services (ID 11000) [85.5]; Business and Professional Services > Advertising Agency (ID 11001) [85.5]; Business and Professional Services > Agriculture and Forestry Service (ID 11002) [85.5]; Business and Professional Services > Architecture Firm (ID 11003) [85.5]; Business and Professional Services > Art Restoration Service (ID 11004) [85.5]
fireplace_service,Other Services,Other Services,11002,Business and Professional Services > Agriculture and Forestry Service,Business and Professional Services , Agriculture and Forestry Service,85.5,business and professional services agriculture and forestry service,Business and Professional Services > Agriculture and Forestry Service (ID 11002) [85.5]; Business and Professional Services > Art Restoration Service (ID 11004) [85.5]; Business and Professional Services > Audiovisual Service (ID 11006) [85.5]; Business and Professional Services > Automotive Service (ID 11009) [85.5]; Business and Professional Services > Automotive Service > Automotive Repair Shop (ID 11010) [85.5]
hang_gliding_center,Other Services,Other Services,10005,Arts and Entertainment > Bingo Center,Arts and Entertainment , Bingo Center,85.5,arts and entertainment bingo center,Arts and Entertainment > Bingo Center (ID 10005) [85.5]; Arts and Entertainment > Laser Tag Center (ID 10022) [85.5]; Arts and Entertainment > Party Center (ID 10034) [85.5]; Business and Professional Services > Business Center (ID 11021) [85.5]; Business and Professional Services > Convention Center (ID 11029) [85.5]
test_preparation,Other Services,Other Services,10058,Arts and Entertainment > Amusement Park > Attraction,Arts and Entertainment , Amusement Park ,74.11764705882352,attraction,Arts and Entertainment > Amusement Park > Attraction (ID 10058) [74.11764705882352]; Travel and Transportation > Rest Area (ID 19024) [70.00000000000001]; Landmarks and Outdoors > Park (ID 16032) [67.5]; Landmarks and Outdoors > States and Municipalities > Town (ID 16067) [67.5]; Community and Government > Education (ID 12009) [64.28571428571429]
background_check_services,Other Services,Other Services,11001,Business and Professional Services > Advertising Agency,Business and Professional Services , Advertising Agency,85.5,business and professional services advertising agency,Business and Professional Services > Advertising Agency (ID 11001) [85.5]; Business and Professional Services > Agriculture and Forestry Service (ID 11002) [85.5]; Business and Professional Services > Architecture Firm (ID 11003) [85.5]; Business and Professional Services > Art Restoration Service (ID 11004) [85.5]; Business and Professional Services > Art Studio (ID 11005) [85.5]
family_service_center,Other Services,Other Services,10005,Arts and Entertainment > Bingo Center,Arts and Entertainment , Bingo Center,85.5,arts and entertainment bingo center,Arts and Entertainment > Bingo Center (ID 10005) [85.5]; Arts and Entertainment > Laser Tag Center (ID 10022) [85.5]; Arts and Entertainment > Party Center (ID 10034) [85.5]; Business and Professional Services > Agriculture and Forestry Service (ID 11002) [85.5]; Business and Professional Services > Art Restoration Service (ID 11004) [85.5]
behavior_analyst,Other Services,Other Services,16009,Landmarks and Outdoors > Canal,Landmarks and Outdoors , Canal,76.0,canal,Landmarks and Outdoors > Canal (ID 16009) [76.0]; Landmarks and Outdoors > Beach (ID 16003) [67.5]; Sports and Recreation > Sauna (ID 18081) [64.125]; Business and Professional Services > Health and Beauty Service > Hair Salon (ID 11064) [63.0]; Business and Professional Services > Tailor (ID 11166) [62.18181818181819]
child_protection_service,Other Services,Other Services,11002,Business and Professional Services > Agriculture and Forestry Service,Business and Professional Services , Agriculture and Forestry Service,85.5,business and professional services agriculture and forestry service,Business and Professional Services > Agriculture and Forestry Service (ID 11002) [85.5]; Business and Professional Services > Art Restoration Service (ID 11004) [85.5]; Business and Professional Services > Audiovisual Service (ID 11006) [85.5]; Business and Professional Services > Automotive Service (ID 11009) [85.5]; Business and Professional Services > Automotive Service > Automotive Repair Shop (ID 11010) [85.5]
