OM_Category,Best_Match_FSQ_Category_Label,Best_Match_FSQ_Category_Name,Best_Match_FSQ_Category_ID,Confidence_Score,Alternative_1_FSQ_Label,Alternative_1_Score,Alternative_2_FSQ_Label,Alternative_2_Score,Alternative_3_FSQ_Label,Alternative_3_Score,Alternative_4_FSQ_Label,Alternative_4_Score
adventure_sports_center,Sports and Recreation > Skydiving Center,Skydiving Center,63be6904847c3692a84b9c18,46.17,Sports and Recreation > Recreation Center,45.92,Sports and Recreation > Gymnastics > Gymnastics Center,43.17,Sports and Recreation > Skydiving Center > Skydiving Drop Zone,41.9,Retail > Garden Center,40.78
advertising_agency,Business and Professional Services > Advertising Agency,Advertising Agency,52e81612bcbc57f1066b7a3d,86.0,Travel and Transportation > Travel Agency,48.81,Business and Professional Services > Online Advertising Service,48.45,Business and Professional Services > Entertainment Agency,48.26,Business and Professional Services > Office > Corporate Housing Agency,47.76
aerial_fitness_center,Business and Professional Services > Business Center,Business Center,56aa371be4b08b9a8d573517,43.0,Health and Medicine > Medical Center,41.48,Community and Government > Rehabilitation Center,41.1,Health and Medicine > Weight Loss Center,40.95,Arts and Entertainment > Party Center,40.58
aerial_tours,Retail > Computers and Electronics Retail > Camera Store,Camera Store,4eb1bdf03b7b55596b4a7491,26.67,Retail > Fashion Retail > Bridal Store,26.67,Retail > Sporting Goods Retail > Baseball Store,24.62,Arts and Entertainment > Performing Arts Venue > Opera House,24.35,Dining and Drinking > Restaurant > Italian Restaurant > Agriturismo,24.35
aesthetician,Sports and Recreation > Athletic Field,Athletic Field,63be6904847c3692a84b9bfd,24.62,Business and Professional Services > Home Improvement Service > Electrician,24.35,Health and Medicine > Physician > Pediatrician,23.33,Health and Medicine > Physician,22.86,Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Pastelaria,21.82
afghan_restaurant,Dining and Drinking > Restaurant > Afghan Restaurant,Afghan Restaurant,503288ae91d4c4b30a586d67,86.0,Dining and Drinking > Restaurant > Indian Restaurant > Goan Restaurant,58.0,Dining and Drinking > Restaurant > African Restaurant,57.29,Dining and Drinking > Restaurant > Asian Restaurant,56.94,Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant > Henan Restaurant,56.94
african_restaurant,Dining and Drinking > Restaurant > African Restaurant,African Restaurant,4bf58dd8d48988d1c8941735,86.0,Dining and Drinking > Restaurant > African Restaurant > Ethiopian Restaurant,61.32,Dining and Drinking > Restaurant > African Restaurant > Mauritian Restaurant,61.32,Dining and Drinking > Restaurant > American Restaurant,59.76,Dining and Drinking > Restaurant > Asian Restaurant,58.29
after_school_program,Community and Government > Education > Art School,Art School,63be6904847c3692a84b9b9f,40.33,Community and Government > Education > Private School,39.86,Community and Government > Education > Trade School,38.83,Community and Government > Education > Flight School,38.15,Community and Government > Education > College and University > Law School,37.67
aggregate_supplier,Business and Professional Services > Leather Supplier,Leather Supplier,63be6904847c3692a84b9b6a,53.59,Business and Professional Services > Paper Supplier,50.5,Business and Professional Services > Rubber Supplier,49.67,Business and Professional Services > Home Improvement Service > Garage Door Supplier,48.26,Business and Professional Services > Plastics Supplier,48.14
agricultural_cooperatives,Community and Government > Cultural Center,Cultural Center,52e81612bcbc57f1066b7a32,24.0,Business and Professional Services > Agriculture and Forestry Service,23.86,Landmarks and Outdoors > Nature Preserve,20.0,Retail > Automotive Shop,20.0,Community and Government > Spiritual Center,19.51
agricultural_engineering_service,Business and Professional Services > Agriculture and Forestry Service,Agriculture and Forestry Service,63be6904847c3692a84b9b26,43.83,Business and Professional Services > Home Improvement Service > Professional Cleaning Service,39.94,Business and Professional Services > Online Advertising Service,39.78,Business and Professional Services > Tutoring Service,39.67,Business and Professional Services > Renewable Energy Service,39.19
agricultural_production,Community and Government > Education > Adult Education,Adult Education,56aa371ce4b08b9a8d573570,25.26,Travel and Transportation > Transport Hub > Rental Car Location,22.86,Arts and Entertainment > Amusement Park > Attraction,21.82,Community and Government > Cultural Center,21.05,Landmarks and Outdoors > Park > Natural Park,20.57
agricultural_seed_store,Retail > Furniture and Home Store,Furniture and Home Store,4bf58dd8d48988d1f8941735,40.16,Retail > Adult Store,39.86,Retail > Food and Beverage Retail > Meat and Seafood Store,39.44,Retail > Fashion Retail > Bridal Store,39.19,Retail > Record Store,39.19
agricultural_service,Business and Professional Services > Agriculture and Forestry Service,Agriculture and Forestry Service,63be6904847c3692a84b9b26,52.23,Business and Professional Services > Rental Service,51.24,Business and Professional Services > Geological Service,50.37,Business and Professional Services > Audiovisual Service,49.67,Business and Professional Services > Legal Service,49.67
agriculture,Business and Professional Services > Agriculture and Forestry Service,Agriculture and Forestry Service,63be6904847c3692a84b9b26,66.47,Dining and Drinking > Restaurant > Italian Restaurant > Agriturismo,25.45,Landmarks and Outdoors > Structure,24.0,Arts and Entertainment > Public Art > Outdoor Sculpture,22.86,Business and Professional Services > Architecture Firm,22.86
agriculture_association,Business and Professional Services > Agriculture and Forestry Service,Agriculture and Forestry Service,63be6904847c3692a84b9b26,46.27,Community and Government > Education > Adult Education,23.16,Community and Government > Government Building > Law Enforcement and Public Safety > Fire Station,22.86,Travel and Transportation > Transportation Service > Public Transportation,21.82,Community and Government > Government Building > Law Enforcement and Public Safety > Police Station,21.62
air_duct_cleaning_service,Business and Professional Services > Home Improvement Service > Professional Cleaning Service,Professional Cleaning Service,63be6904847c3692a84b9b60,49.67,Business and Professional Services > Financial Service > Check Cashing Service,39.09,Business and Professional Services > Automotive Service > Oil Change Service,39.05,Community and Government > Senior Citizen Service,38.53,Business and Professional Services > Art Restoration Service,38.0
aircraft_dealer,Retail > Automotive Retail > Car Dealership,Car Dealership,4eb1c1623b7b52c0e1adc2ec,27.83,Retail > Automotive Retail > Car Dealership > New Car Dealership,24.82,Arts and Entertainment > Art Gallery,24.62,Retail > Automotive Retail > Car Dealership > Used Car Dealership,24.18,Retail > Automotive Retail > Motor Scooter Dealership,23.51
aircraft_manufacturer,Business and Professional Services > Manufacturer,Manufacturer,63be6904847c3692a84b9b70,52.09,Business and Professional Services > Chemicals and Gasses Manufacturer,45.22,Travel and Transportation > Transport Hub > Airport > Airport Gate,21.82,Business and Professional Services > Architecture Firm,21.05,Sports and Recreation > Recreation Center,21.05
aircraft_parts_and_supplies,Retail > Automotive Retail > Car Parts and Accessories,Car Parts and Accessories,63be6904847c3692a84b9be6,42.49,Retail > Pet Supplies Store,37.07,Retail > Construction Supplies Store,35.38,Business and Professional Services > Refrigeration and Ice Supplier,22.46,Business and Professional Services > Home Improvement Service > Garage Door Supplier,22.13
aircraft_repair,Business and Professional Services > Automotive Service > Tire Repair Shop,Tire Repair Shop,63be6904847c3692a84b9b2f,46.23,Business and Professional Services > Automotive Service > Automotive Repair Shop,42.46,Business and Professional Services > Automotive Service > Motorcycle Repair Shop,42.46,Business and Professional Services > Computer Repair Service,39.84,Business and Professional Services > Repair Service,39.55
airline,Event > Line,Line,58daa1558bbb0b01f18ec1fa,29.09,Community and Government > Spiritual Center > Shrine,24.62,Business and Professional Services > Health and Beauty Service > Hair Salon,23.53,Dining and Drinking > Restaurant > Greek Restaurant > Magirio,22.86,Travel and Transportation > Parking,22.86
airline_ticket_agency,Business and Professional Services > Real Estate Service > Real Estate Agency,Real Estate Agency,5032885091d4c4b30a586d66,40.95,Business and Professional Services > Entertainment Agency,39.75,Travel and Transportation > Hot Air Balloon Tour Agency,39.67,Business and Professional Services > Advertising Agency,38.9,Business and Professional Services > Human Resources Agency,38.66
airlines,Event > Line,Line,58daa1558bbb0b01f18ec1fa,26.67,Community and Government > Spiritual Center > Shrine,22.86,Business and Professional Services > Health and Beauty Service > Hair Salon,22.22,Travel and Transportation > Transport Hub > Airport > Airport Lounge,21.82,Dining and Drinking > Restaurant > Greek Restaurant > Magirio,21.33
airport,Travel and Transportation > Transport Hub > Airport,Airport,4bf58dd8d48988d1ed931735,86.0,Travel and Transportation > Transport Hub > Airport > Airport Gate,75.47,Travel and Transportation > Transport Hub > Airport > Airport Lounge,72.67,Travel and Transportation > Transport Hub > Airport > Airport Service,71.45,Travel and Transportation > Transport Hub > Airport > Private Airport,71.45
airport_lounge,Travel and Transportation > Transport Hub > Airport > Airport Lounge,Airport Lounge,4eb1bc533b7b2c5b1d4306cb,86.0,Travel and Transportation > Transport Hub > Airport > Airport Gate,53.77,Travel and Transportation > Transport Hub > Airport,49.67,Travel and Transportation > Transport Hub > Airport > Airport Ticket Counter,49.67,Travel and Transportation > Transport Hub > Airport > Airport Food Court,48.0
airport_shuttles,Travel and Transportation > Transport Hub > Airport > Airport Gate,Airport Gate,4bf58dd8d48988d1f0931735,51.57,Travel and Transportation > Transport Hub > Airport > Airport Lounge,49.67,Travel and Transportation > Transport Hub > Airport > Airport Service,48.81,Travel and Transportation > Transport Hub > Airport > Airport Terminal,48.0,Travel and Transportation > Transport Hub > Airport > Airport Tram Station,47.44
airport_terminal,Travel and Transportation > Transport Hub > Airport > Airport Terminal,Airport Terminal,4bf58dd8d48988d1eb931735,86.0,Travel and Transportation > Transport Hub > Airport > Airport Tram Station,51.89,Travel and Transportation > Transport Hub > Airport > Airport Gate,51.57,Travel and Transportation > Transport Hub > Airport > Airport Service,51.39,Travel and Transportation > Transport Hub > Marine Terminal,51.39
airsoft_fields,Travel and Transportation > Transport Hub > Airport > Airfield,Airfield,5f2c42335b4c177b9a6dc927,29.09,Sports and Recreation > Paintball Field,24.83,Sports and Recreation > Soccer > Soccer Field,24.62,Sports and Recreation > Athletic Field,22.86,Sports and Recreation > Baseball > Baseball Field,22.86
alcohol_and_drug_treatment_center,Community and Government > Addiction Treatment Center,Addiction Treatment Center,63be6904847c3692a84b9b9b,51.47,Community and Government > Domestic Abuse Treatment Center,49.25,Health and Medicine > Urgent Care Center,36.01,Arts and Entertainment > Bingo Center,35.86,Arts and Entertainment > Party Center,35.86
alcohol_and_drug_treatment_centers,Community and Government > Addiction Treatment Center,Addiction Treatment Center,63be6904847c3692a84b9b9b,41.0,Community and Government > Domestic Abuse Treatment Center,38.85,Business and Professional Services > Water Treatment Service,34.05,Health and Medicine > Urgent Care Center,22.7,Arts and Entertainment > Bingo Center,22.54
allergist,Health and Medicine > Physician > Pathologist,Pathologist,63be6904847c3692a84b9bd6,24.0,Health and Medicine > Physician > Radiologist,24.0,Health and Medicine > Physician > Ophthalmologist,23.33,Health and Medicine > Physician > Cardiologist,22.86,Health and Medicine > Physician > Urologist,22.22
altering_and_remodeling_contractor,Business and Professional Services > Home Improvement Service > Carpet and Flooring Contractor,Carpet and Flooring Contractor,63be6904847c3692a84b9b4e,43.83,"Business and Professional Services > Home Improvement Service > Heating, Ventilating and Air Conditioning Contractor",42.38,Business and Professional Services > Home Improvement Service > Doors and Windows Contractor,40.85,Business and Professional Services > Home Improvement Service > Deck and Patio Contractor,40.74,Business and Professional Services > Home Improvement Service > Bathroom Contractor,38.97
alternative_medicine,Health and Medicine > Alternative Medicine Clinic,Alternative Medicine Clinic,52e81612bcbc57f1066b7a3c,80.04,Health and Medicine,49.67,Health and Medicine > Physician > Internal Medicine Doctor,48.45,Health and Medicine > Nurse,45.13,Health and Medicine > Dentist,44.22
aluminum_supplier,Business and Professional Services > Metals Supplier,Metals Supplier,63be6904847c3692a84b9b73,50.5,Business and Professional Services > Petroleum Supplier,50.43,Business and Professional Services > Plastics Supplier,48.88,Business and Professional Services > Paper Supplier,48.81,Business and Professional Services > Rubber Supplier,48.0
amateur_sports_league,Sports and Recreation > Water Sports,Water Sports,63be6904847c3692a84b9c1c,43.0,Sports and Recreation > Sports Club,38.83,Dining and Drinking > Bar > Sports Bar,36.98,Sports and Recreation > Racquet Sports,36.9,Sports and Recreation > Gun Range,34.11
amateur_sports_team,Sports and Recreation > Water Sports,Water Sports,63be6904847c3692a84b9c1c,44.72,Dining and Drinking > Bar > Sports Bar,38.4,Sports and Recreation > Racquet Sports,38.15,Sports and Recreation > Snow Sports,35.0,Sports and Recreation > Sports Club,35.0
ambulance_and_ems_services,Health and Medicine > Emergency Service > Ambulance Service,Ambulance Service,63be6904847c3692a84b9bbd,47.96,Business and Professional Services,43.0,Business and Professional Services > Office,39.52,Business and Professional Services > Tailor,39.52,Business and Professional Services > Factory,39.19
american_restaurant,Dining and Drinking > Restaurant > American Restaurant,American Restaurant,4bf58dd8d48988d14e941735,86.0,Dining and Drinking > Restaurant > American Restaurant > New American Restaurant,82.19,Dining and Drinking > Restaurant > Latin American Restaurant,80.55,Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant,80.55,Dining and Drinking > Restaurant > Latin American Restaurant > Arepa Restaurant,61.51
amusement_park,Arts and Entertainment > Amusement Park,Amusement Park,4bf58dd8d48988d182941735,86.0,Arts and Entertainment > Amusement Park > Attraction,62.97,Arts and Entertainment > Water Park,46.33,Landmarks and Outdoors > Park > Urban Park,46.33,Sports and Recreation > Skating > Skate Park,46.33
anesthesiologist,Health and Medicine > Physician > Anesthesiologist,Anesthesiologist,63be6904847c3692a84b9bc7,86.0,Health and Medicine > Physician > Pathologist,29.63,Health and Medicine > Physician > Neurologist,26.67,Health and Medicine > Physician > Radiologist,26.67,Health and Medicine > Physician > Gastroenterologist,25.88
anglican_church,Community and Government > Spiritual Center > Church,Church,4bf58dd8d48988d132941735,45.86,Dining and Drinking > Restaurant > Asian Restaurant > Mongolian Restaurant,20.57,Dining and Drinking > Restaurant > African Restaurant,19.39,Dining and Drinking > Restaurant > Italian Restaurant,19.39,Arts and Entertainment > Salsa Club,19.2
animal_assisted_therapy,Community and Government > Animal Shelter,Animal Shelter,4e52d2d203646f7c19daa8ae,40.12,Health and Medicine > Assisted Living Service,35.46,Health and Medicine > Physical Therapy Clinic,35.46,Community and Government > Assisted Living,35.28,Business and Professional Services > Automotive Service > Transmissions Shop,19.51
animal_hospital,Health and Medicine > Hospital,Hospital,4bf58dd8d48988d196941735,50.83,Community and Government > Animal Shelter,47.83,Health and Medicine > Hospital > Children's Hospital,46.53,Health and Medicine > Hospital > Hospital Unit,45.86,Arts and Entertainment > Samba School,20.74
animal_physical_therapy,Health and Medicine > Physical Therapy Clinic,Physical Therapy Clinic,5744ccdfe4b0c0459246b4af,57.49,Community and Government > Animal Shelter,40.12,Arts and Entertainment > Performing Arts Venue > Amphitheater,20.57,Business and Professional Services > Financial Service,20.0,Business and Professional Services > Financial Service > Financial Planner,20.0
animal_rescue_service,Community and Government > Government Building > Law Enforcement and Public Safety > Rescue Service,Rescue Service,63be6904847c3692a84b9ba5,61.67,Business and Professional Services > Real Estate Service,44.33,Business and Professional Services > Financial Service,43.7,Retail > Financial or Legal Service,43.57,Business and Professional Services > Home Improvement Service > Tree Service,43.0
animal_shelter,Community and Government > Animal Shelter,Animal Shelter,4e52d2d203646f7c19daa8ae,86.0,Landmarks and Outdoors > Picnic Shelter,51.57,Community and Government > Homeless Shelter,49.67,Arts and Entertainment > Performing Arts Venue > Indie Theater,23.7,Business and Professional Services > Financial Service,23.23
animation_studio,Business and Professional Services > Art Studio,Art Studio,58daa1558bbb0b01f18ec1d6,50.69,Business and Professional Services > Film Studio,49.67,Sports and Recreation > Gym and Studio > Pilates Studio,49.67,Sports and Recreation > Gym and Studio > Dance Studio,48.71,Business and Professional Services > Design Studio,47.83
antenna_service,Business and Professional Services > Rental Service,Rental Service,56aa371be4b08b9a8d573552,53.34,Business and Professional Services > Home Improvement Service > Tree Service,52.63,Business and Professional Services > Entertainment Service,51.89,Business and Professional Services > Technology Business > IT Service,51.8,Business and Professional Services > Event Service,51.57
antique_store,Retail > Antique Store,Antique Store,4bf58dd8d48988d116951735,86.0,Retail > Dance Store,53.0,Retail > Fashion Retail > Batik Store,53.0,Retail > Sporting Goods Retail > Skate Store,53.0,Retail > Food and Beverage Retail > Liquor Store,51.8
apartment_agent,Community and Government > Residential Building > Apartment or Condo,Apartment or Condo,4d954b06a243a5684965b473,49.67,Retail > Department Store,25.81,Business and Professional Services > Entertainment Agency,25.14,Business and Professional Services > Employment Agency,25.0,Arts and Entertainment > Party Center,23.7
apartments,Retail > Department Store,Department Store,4bf58dd8d48988d1f6941735,27.69,Community and Government > Residential Building > Apartment or Condo,25.71,Arts and Entertainment > Party Center,25.45,Health and Medicine > Optometrist,22.86,Dining and Drinking > Restaurant > Latin American Restaurant > Arepa Restaurant,21.54
apiaries_and_beekeepers,Arts and Entertainment > Escape Room,Escape Room,5f2c2834b6d05514c704451e,20.34,Dining and Drinking > Bar > Apres Ski Bar,20.0,Travel and Transportation > Lodging > Bed and Breakfast,20.0,Arts and Entertainment > Ticket Seller,19.67,Business and Professional Services > Financial Service > Accounting and Bookkeeping Service,19.65
appellate_practice_lawyers,Business and Professional Services > Real Estate Service > Real Estate Appraiser,Real Estate Appraiser,63be6904847c3692a84b9b87,20.43,Business and Professional Services > Lottery Retailer,19.05,Business and Professional Services > Plastics Supplier,18.6,Travel and Transportation > Transport Hub > Airport > Airport Ticket Counter,18.33,Business and Professional Services > Appraiser,18.29
appliance_manufacturer,Business and Professional Services > Manufacturer,Manufacturer,63be6904847c3692a84b9b70,51.24,Business and Professional Services > Chemicals and Gasses Manufacturer,49.18,Retail > Furniture and Home Store > Home Appliance Store,47.76,Community and Government > Rehabilitation Center,20.47,Retail > Dance Store,19.39
appliance_repair_service,Business and Professional Services > Shoe Repair Service,Shoe Repair Service,52f2ab2ebcbc57f1066b8b39,59.43,Business and Professional Services > Repair Service,59.14,Business and Professional Services > Computer Repair Service,58.6,Health and Medicine > Emergency Service > Ambulance Service,43.65,Business and Professional Services > Creative Service,42.33
appliance_store,Retail > Furniture and Home Store > Home Appliance Store,Home Appliance Store,63be6904847c3692a84b9bf1,80.29,Retail > Dance Store,53.77,Retail > Food and Beverage Retail > Wine Store,51.8,Retail > Vape Store,51.8,Retail > Print Store,50.69
appraisal_services,Business and Professional Services,Business and Professional Services,4d4b7105d754a06375d81259,46.08,Community and Government > Organization > Social Services Organization,43.87,Business and Professional Services > Office,42.67,Business and Professional Services > Tailor,42.67,Business and Professional Services > Factory,42.35
aquarium,Arts and Entertainment > Aquarium,Aquarium,4fceea171983d5d06c3e9823,86.0,Business and Professional Services > Auditorium,26.67,Arts and Entertainment > Planetarium,25.26,Arts and Entertainment > Stadium,21.33,Dining and Drinking > Restaurant > Italian Restaurant > Agriturismo,21.05
aquarium_services,Arts and Entertainment > Aquarium,Aquarium,4fceea171983d5d06c3e9823,48.6,Community and Government > Organization > Social Services Organization,40.78,Business and Professional Services,40.25,Business and Professional Services > Office,37.67,Business and Professional Services > Tailor,37.67
aquatic_pet_store,Retail > Pet Supplies Store,Pet Supplies Store,4bf58dd8d48988d100951735,51.48,Retail > Furniture and Home Store > Carpet Store,43.92,Retail > Outlet Store,43.92,Retail > Antique Store,43.0,Retail > Food and Beverage Retail > Sausage Store,43.0
arabian_restaurant,Dining and Drinking > Restaurant > African Restaurant,African Restaurant,4bf58dd8d48988d1c8941735,58.56,Dining and Drinking > Restaurant > German Restaurant > Swabian Restaurant,58.56,Dining and Drinking > Restaurant > Asian Restaurant,58.29,Dining and Drinking > Restaurant > Australian Restaurant,57.87,Dining and Drinking > Restaurant > American Restaurant,57.59
arcade,Arts and Entertainment > Arcade,Arcade,4bf58dd8d48988d1e1931735,86.0,Event > Entertainment Event > Parade,33.33,Landmarks and Outdoors > Garden,26.67,Arts and Entertainment > VR Cafe,24.62,Landmarks and Outdoors > Cave,24.0
archaeological_services,Business and Professional Services,Business and Professional Services,4d4b7105d754a06375d81259,44.05,Business and Professional Services > Geological Service,43.51,Community and Government > Organization > Social Services Organization,43.39,Business and Professional Services > Office,41.18,Business and Professional Services > Tailor,41.18
archery_range,Sports and Recreation > Gun Range,Gun Range,52e81612bcbc57f1066b7a11,44.82,Sports and Recreation > Golf > Golf Driving Range,41.06,Retail > Food and Beverage Retail > Grocery Store,24.62,Dining and Drinking > Restaurant > Italian Restaurant > Marche Restaurant,24.0,Business and Professional Services > Architecture Firm,21.33
archery_shop,Business and Professional Services > Machine Shop,Machine Shop,63be6904847c3692a84b9b6e,53.0,Dining and Drinking > Dessert Shop > Pastry Shop,50.83,Dining and Drinking > Bagel Shop,48.45,"Dining and Drinking > Cafe, Coffee, and Tea House > Coffee Shop",47.35,Dining and Drinking > Dessert Shop > Waffle Shop,47.35
architect,Business and Professional Services > Architecture Firm,Architecture Firm,5fac002599ce226e27fe72e5,33.69,Arts and Entertainment > Performing Arts Venue > Amphitheater,22.86,Arts and Entertainment > Arcade,21.33,Business and Professional Services > Home Improvement Service > Painter,20.0,Community and Government > Organization > Charity,20.0
architectural_designer,Business and Professional Services > Home Improvement Service > Interior Designer,Interior Designer,63be6904847c3692a84b9b59,49.67,Business and Professional Services > Technology Business > Website Designer,48.26,Business and Professional Services > Architecture Firm,28.72,Community and Government > Cultural Center,23.78,Community and Government > Spiritual Center,23.16
architectural_tours,Business and Professional Services > Architecture Firm,Architecture Firm,5fac002599ce226e27fe72e5,28.89,Sports and Recreation > Race Track > Racecourse,22.07,Community and Government > Cultural Center,21.18,Landmarks and Outdoors > Park > Natural Park,20.65,Retail > Computers and Electronics Retail > Camera Store,20.65
architecture,Business and Professional Services > Architecture Firm,Architecture Firm,5fac002599ce226e27fe72e5,79.1,Sports and Recreation > Race Track > Racecourse,25.45,Dining and Drinking > Restaurant > Friterie,24.0,Arts and Entertainment > Performing Arts Venue > Amphitheater,23.33,Landmarks and Outdoors > Structure,22.86
architecture_schools,Business and Professional Services > Architecture Firm,Architecture Firm,5fac002599ce226e27fe72e5,51.11,Community and Government > Education > Art School,26.67,Community and Government > Education > Circus School,24.24,Community and Government > Education > Nursery School,23.53,Community and Government > Education > Private School,23.53
argentine_restaurant,Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Argentinian Restaurant,Argentinian Restaurant,4bf58dd8d48988d107941735,59.19,Dining and Drinking > Restaurant > Armenian Restaurant,57.87,Dining and Drinking > Restaurant > Italian Restaurant > Trentino Restaurant,57.87,Dining and Drinking > Restaurant > French Restaurant > Auvergne Restaurant,55.82,Dining and Drinking > Restaurant > German Restaurant > Palatine Restaurant,55.82
armed_forces_branch,Business and Professional Services > Human Resources Agency,Human Resources Agency,63be6904847c3692a84b9b66,23.41,Dining and Drinking > Restaurant > Armenian Restaurant,23.16,Dining and Drinking > Restaurant > Asian Restaurant > Japanese Restaurant > Ramen Restaurant,22.86,Dining and Drinking > Restaurant > Latin American Restaurant > Arepa Restaurant,22.86,Dining and Drinking > Restaurant > Italian Restaurant > Marche Restaurant,22.22
