CATEGORY_LABEL,SIMPLIFIED_CATEGORY,UPDATED_CATEGORY
art_restoration_service,Automotive,Automotive
vehicle_wrap,Automotive,Automotive
mobile_phone_repair,Automotive,Automotive
recreational_vehicle_parts_and_accessories,Automotive,Automotive
b2b_tires,Automotive,Business-to-Business
washer_and_dryer_repair_service,Automotive,Automotive
recreational_vehicle_dealer,Automotive,Automotive
vehicle_shipping,Automotive,Automotive
watch_repair_service,Automotive,Automotive
automotive_consultant,Automotive,Automotive
windshield_installation_and_repair,Automotive,Automotive
gas_station,Automotive,Automotive
auto_insurance,Automotive,Automotive
art_restoration,Automotive,Automotive
auto_electrical_repair,Automotive,Automotive
scooter_dealers,Automotive,Automotive
home_window_tinting,Automotive,Automotive
bathtub_and_sink_repairs,Automotive,Automotive
cable_car_service,Automotive,Automotive
truck_gas_station,Automotive,Automotive
damage_restoration,Automotive,Automotive
auto_manufacturers_and_distributors,Automotive,Automotive
motorcycle_repair,Automotive,Automotive
car_sharing,Automotive,Automotive
aircraft_dealer,Automotive,Automotive
generator_installation_repair,Automotive,Automotive
lawn_mower_repair_service,Automotive,Automotive
automobile_leasing,Automotive,Automotive
b2b_tractor_dealers,Automotive,Automotive
motorsport_vehicle_dealer,Automotive,Automotive
mobile_dent_repair,Automotive,Automotive
livestock_dealers,Automotive,Automotive
auto_company,Automotive,Automotive
automobile_registration_service,Automotive,Automotive
transmission_repair,Automotive,Automotive
fuel_dock,Automotive,Automotive
ceiling_and_roofing_repair_and_service,Automotive,Construction & Contractors
town_car_service,Automotive,Automotive
mechanical_engineers,Automotive,Automotive
engine_repair_service,Automotive,Automotive
automotive_storage_facility,Automotive,Automotive
auto_restoration_services,Automotive,Automotive
appliance_repair_service,Automotive,Automotive
furniture_reupholstery,Automotive,Automotive
auto_upholstery,Automotive,Automotive
trailer_repair,Automotive,Automotive
oil_change_station,Automotive,Automotive
motorcycle_manufacturer,Automotive,Automotive
game_truck_rental,Automotive,Automotive
golf_cart_dealer,Automotive,Automotive
eyelash_service,Beauty & Wellness,Beauty & Wellness
muay_thai_club,Beauty & Wellness,Beauty & Wellness
boot_camp,Beauty & Wellness,Beauty & Wellness
martial_arts_club,Beauty & Wellness,Beauty & Wellness
boxing_class,Beauty & Wellness,Beauty & Wellness
laser_hair_removal,Beauty & Wellness,Beauty & Wellness
nutritionist,Beauty & Wellness,Beauty & Wellness
coworking_space,Beauty & Wellness,Beauty & Wellness
makerspace,Beauty & Wellness,Beauty & Wellness
beauty_salon,Beauty & Wellness,Beauty & Wellness
tattoo_removal,Beauty & Wellness,Beauty & Wellness
kickboxing_club,Beauty & Wellness,Beauty & Wellness
aerial_fitness_center,Beauty & Wellness,Beauty & Wellness
reiki,Beauty & Wellness,Beauty & Wellness
shared_office_space,Beauty & Wellness,Beauty & Wellness
hair_extensions,Beauty & Wellness,Beauty & Wellness
boudoir_photography,Beauty & Wellness,Beauty & Wellness
yoga_instructor,Beauty & Wellness,Beauty & Wellness
fitness_trainer,Beauty & Wellness,Beauty & Wellness
beauty_and_spa,Beauty & Wellness,Beauty & Wellness
karate_club,Beauty & Wellness,Beauty & Wellness
tanning_bed,Beauty & Wellness,Beauty & Wellness
fitness_exercise_equipment,Beauty & Wellness,Beauty & Wellness
hair_salon,Beauty & Wellness,Beauty & Wellness
gymnastics_club,Beauty & Wellness,Beauty & Wellness
float_spa,Beauty & Wellness,Beauty & Wellness
eyebrow_service,Beauty & Wellness,Beauty & Wellness
hair_removal,Beauty & Wellness,Beauty & Wellness
skin_care,Beauty & Wellness,Beauty & Wellness
hair_loss_center,Beauty & Wellness,Beauty & Wellness
esthetician,Beauty & Wellness,Beauty & Wellness
gym,Beauty & Wellness,Beauty & Wellness
dietitian,Beauty & Wellness,Beauty & Wellness
day_spa,Beauty & Wellness,Beauty & Wellness
blow_dry_blow_out_service,Beauty & Wellness,Beauty & Wellness
tattoo_and_piercing,Beauty & Wellness,Beauty & Wellness
piercing,Beauty & Wellness,Beauty & Wellness
pilates_studio,Beauty & Wellness,Beauty & Wellness
venue_and_event_space,Beauty & Wellness,Beauty & Wellness
massage,Beauty & Wellness,Beauty & Wellness
gymnastics_center,Beauty & Wellness,Beauty & Wellness
horse_trainer,Beauty & Wellness,Beauty & Wellness
weight_loss_center,Beauty & Wellness,Beauty & Wellness
nail_salon,Beauty & Wellness,Beauty & Wellness
tattoo,Beauty & Wellness,Beauty & Wellness
sauna,Beauty & Wellness,Beauty & Wellness
chinese_martial_arts_club,Beauty & Wellness,Beauty & Wellness
art_space_rental,Beauty & Wellness,Beauty & Wellness
sports_and_fitness_instruction,Beauty & Wellness,Beauty & Wellness
fitness_equipment_wholesaler,Beauty & Wellness,Beauty & Wellness
yoga_studio,Beauty & Wellness,Beauty & Wellness
brazilian_jiu_jitsu_club,Beauty & Wellness,Beauty & Wellness
dog_trainer,Beauty & Wellness,Beauty & Wellness
tanning_salon,Beauty & Wellness,Beauty & Wellness
waxing,Beauty & Wellness,Beauty & Wellness
threading_service,Beauty & Wellness,Beauty & Wellness
sugaring,Beauty & Wellness,Beauty & Wellness
spray_tanning,Beauty & Wellness,Beauty & Wellness
hair_stylist,Beauty & Wellness,Beauty & Wellness
spas,Beauty & Wellness,Beauty & Wellness
boxing_club,Beauty & Wellness,Beauty & Wellness
kids_hair_salon,Beauty & Wellness,Beauty & Wellness
rock_climbing_gym,Beauty & Wellness,Beauty & Wellness
taekwondo_club,Beauty & Wellness,Beauty & Wellness
newspaper_advertising,Beauty & Wellness,Beauty & Wellness
cosmetic_and_beauty_supplies,Beauty & Wellness,Beauty & Wellness
hair_replacement,Beauty & Wellness,Beauty & Wellness
boxing_gym,Beauty & Wellness,Beauty & Wellness
makeup_artist,Beauty & Wellness,Beauty & Wellness
aesthetician,Beauty & Wellness,Beauty & Wellness
permanent_makeup,Beauty & Wellness,Beauty & Wellness
electronic_parts_supplier,Business-to-Business,Business-to-Business
b2b_scientific_equipment,Business-to-Business,Business-to-Business
propane_supplier,Business-to-Business,Business-to-Business
corporate_gift_supplier,Business-to-Business,Business-to-Business
fastener_supplier,Business-to-Business,Business-to-Business
b2b_furniture_and_housewares,Business-to-Business,Business-to-Business
bearing_supplier,Business-to-Business,Business-to-Business
vending_machine_supplier,Business-to-Business,Business-to-Business
granite_supplier,Business-to-Business,Business-to-Business
cement_supplier,Business-to-Business,Business-to-Business
ice_supplier,Business-to-Business,Business-to-Business
b2b_hardware,Business-to-Business,Business-to-Business
scale_supplier,Business-to-Business,Business-to-Business
pipe_supplier,Business-to-Business,Business-to-Business
aluminum_supplier,Business-to-Business,Business-to-Business
stone_supplier,Business-to-Business,Business-to-Business
awning_supplier,Business-to-Business,Business-to-Business
beverage_supplier,Business-to-Business,Business-to-Business
beauty_product_supplier,Business-to-Business,Business-to-Business
b2b_science_and_technology,Business-to-Business,Business-to-Business
abrasives_supplier,Business-to-Business,Business-to-Business
natural_gas_supplier,Business-to-Business,Business-to-Business
b2b_dairies,Business-to-Business,Business-to-Business
tableware_supplier,Business-to-Business,Business-to-Business
box_lunch_supplier,Business-to-Business,Business-to-Business
water_softening_equipment_supplier,Business-to-Business,Business-to-Business
b2b_jewelers,Business-to-Business,Business-to-Business
sand_and_gravel_supplier,Business-to-Business,Business-to-Business
b2b_machinery_and_tools,Business-to-Business,Business-to-Business
thread_supplier,Business-to-Business,Business-to-Business
retaining_wall_supplier,Business-to-Business,Business-to-Business
hydraulic_equipment_supplier,Business-to-Business,Business-to-Business
b2b_electronic_equipment,Business-to-Business,Business-to-Business
laboratory_equipment_supplier,Business-to-Business,Business-to-Business
window_supplier,Business-to-Business,Business-to-Business
aggregate_supplier,Business-to-Business,Business-to-Business
suicide_prevention_services,Community & Social Services,Community & Social Services
elder_care_planning,Community & Social Services,Community & Social Services
community_center,Community & Social Services,Community & Social Services
home_organization,Community & Social Services,Community & Social Services
donation_center,Community & Social Services,Community & Social Services
charity_organization,Community & Social Services,Community & Social Services
foster_care_services,Community & Social Services,Community & Social Services
organization,Community & Social Services,Community & Social Services
crisis_intervention_services,Community & Social Services,Community & Social Services
fraternal_organization,Community & Social Services,Community & Social Services
volunteer_association,Community & Social Services,Community & Social Services
homeowner_association,Community & Social Services,Community & Social Services
career_counseling,Community & Social Services,Community & Social Services
senior_citizen_services,Community & Social Services,Community & Social Services
welders,Community & Social Services,Community & Social Services
domestic_business_and_trade_organizations,Community & Social Services,Community & Social Services
blood_and_plasma_donation_center,Community & Social Services,Community & Social Services
labor_union,Community & Social Services,Community & Social Services
political_organization,Community & Social Services,Community & Social Services
youth_organizations,Community & Social Services,Community & Social Services
social_service_organizations,Community & Social Services,Community & Social Services
community_services_non_profits,Community & Social Services,Community & Social Services
private_association,Community & Social Services,Community & Social Services
gay_and_lesbian_services_organization,Community & Social Services,Community & Social Services
veterans_organization,Community & Social Services,Community & Social Services
packaging_contractors_and_service,Construction & Contractors,Construction & Contractors
contractor,Construction & Contractors,Construction & Contractors
kitchen_remodeling,Construction & Contractors,Construction & Contractors
painting,Construction & Contractors,Construction & Contractors
plumbing,Construction & Contractors,Construction & Contractors
roofing,Construction & Contractors,Construction & Contractors
closet_remodeling,Construction & Contractors,Construction & Contractors
construction_services,Construction & Contractors,Construction & Contractors
demolition_service,Construction & Contractors,Construction & Contractors
carpenter,Construction & Contractors,Construction & Contractors
excavation_service,Construction & Contractors,Construction & Contractors
tiling,Construction & Contractors,Construction & Contractors
road_contractor,Construction & Contractors,Construction & Contractors
logging_contractor,Construction & Contractors,Construction & Contractors
well_drilling,Construction & Contractors,Construction & Contractors
stone_and_masonry,Construction & Contractors,Construction & Contractors
boat_builder,Construction & Contractors,Construction & Contractors
paving_contractor,Construction & Contractors,Construction & Contractors
masonry_contractors,Construction & Contractors,Construction & Contractors
face_painting,Construction & Contractors,Construction & Contractors
waterproofing,Construction & Contractors,Construction & Contractors
siding,Construction & Contractors,Construction & Contractors
electrician,Construction & Contractors,Construction & Contractors
insulation_installation,Construction & Contractors,Construction & Contractors
flooring_contractors,Construction & Contractors,Construction & Contractors
hvac_supplier,Construction & Contractors,Construction & Contractors
altering_and_remodeling_contractor,Construction & Contractors,Construction & Contractors
building_contractor,Construction & Contractors,Construction & Contractors
masonry_concrete,Construction & Contractors,Construction & Contractors
septic_services,Construction & Contractors,Construction & Contractors
hvac_services,Construction & Contractors,Construction & Contractors
bathroom_remodeling,Construction & Contractors,Construction & Contractors
childproofing,Construction & Contractors,Construction & Contractors
builders,Construction & Contractors,Construction & Contractors
drywall_services,Construction & Contractors,Construction & Contractors
vocal_coach,Education,Education
science_schools,Education,Education
cardio_classes,Education,Exercise/Wellness
law_schools,Education,Education
child_care_and_day_care,Education,Education
cpr_classes,Education,Education
wine_tasting_classes,Education,Education
tutoring_center,Education,Education
boat_rental_and_training,Education,Education
architecture_schools,Education,Education
parenting_classes,Education,Education
middle_school,Education,Education
school,Education,Education
adult_education,Education,Education
flight_school,Education,Education
speech_training,Education,Education
educational_camp,Education,Education
educational_research_institute,Education,Education
self_defense_classes,Education,Exercise/Wellness
day_care_preschool,Education,Education
private_school,Education,Education
life_coach,Education,Education
montessori_school,Education,Education
first_aid_class,Education,Education
vocational_and_technical_school,Education,Education
educational_services,Education,Education
cooking_classes,Education,Education
business_schools,Education,Education
engineering_schools,Education,Education
preschool,Education,Education
library,Education,Education
dui_school,Education,Education
religious_school,Education,Education
charter_school,Education,Education
after_school_program,Education,Education
research_institute,Education,Education
elementary_school,Education,Education
education,Education,Education
waldorf_school,Education,Education
pet_training,Education,Education
high_school,Education,Education
school_district_offices,Education,Education
massage_school,Education,Education
tasting_classes,Education,Education
cycling_classes,Education,Beauty & Wellness
student_union,Education,Education
childbirth_education,Education,Education
language_school,Education,Education
university_housing,Education,Education
music_school,Education,Education
computer_coaching,Education,Education
college_counseling,Education,Education
specialty_school,Education,Education
cosmetology_school,Education,Education
cooking_school,Education,Education
coach_bus,Education,Transportation
board_of_education_offices,Education,Education
college_university,Education,Education
swimming_instructor,Education,Education
firearm_training,Education,Education
photography_classes,Education,Education
furniture_rental_service,Event Services,Event Services
rental_service,Event Services,Event Services
florist,Event Services,Event Services
political_party_office,Event Services,Event Services
party_equipment_rental,Event Services,Event Services
party_character,Event Services,Event Services
wedding_planning,Event Services,Event Services
party_bus_rental,Event Services,Event Services
photo_booth_rental,Event Services,Event Services
event_planning,Event Services,Event Services
dj_service,Event Services,Event Services
party_and_event_planning,Event Services,Event Services
rental_services,Event Services,Event Services
party_bike_rental,Event Services,Event Services
wholesale_florist,Event Services,Event Services
balloon_services,Event Services,Event Services
credit_union,Financial Services,Financial Services
installment_loans,Financial Services,Financial Services
business_banking_service,Financial Services,Financial Services
bank_credit_union,Financial Services,Financial Services
currency_exchange,Financial Services,Financial Services
livestock_breeder,Financial Services,Financial Services
customs_broker,Financial Services,Financial Services
debt_relief_services,Financial Services,Financial Services
farm_insurance,Financial Services,Financial Services
atms,Financial Services,Financial Services
real_estate_investment,Financial Services,Financial Services
insurance_agency,Financial Services,Financial Services
stock_and_bond_brokers,Financial Services,Financial Services
abuse_and_addiction_treatment,Financial Services,Financial Services
banks,Financial Services,Financial Services
water_treatment_equipment_and_services,Financial Services,Financial Services
alcohol_and_drug_treatment_centers,Financial Services,Financial Services
alcohol_and_drug_treatment_center,Financial Services,Financial Services
bank_equipment_service,Financial Services,Financial Services
business_brokers,Financial Services,Financial Services
life_insurance,Financial Services,Financial Services
lice_treatment,Financial Services,Financial Services
tax_office,Financial Services,Financial Services
brokers,Financial Services,Financial Services
pet_insurance,Financial Services,Financial Services
cancer_treatment_center,Financial Services,Financial Services
mortgage_broker,Financial Services,Financial Services
mortgage_lender,Financial Services,Financial Services
home_and_rental_insurance,Financial Services,Financial Services
check_cashing_payday_loans,Financial Services,Financial Services
bail_bonds_service,Financial Services,Financial Services
thai_restaurant,Food & Dining,Food & Dining
hookah_bar,Food & Dining,Food & Dining
ice_cream_and_frozen_yoghurt,Food & Dining,Food & Dining
champagne_bar,Food & Dining,Food & Dining
undersea_hyperbaric_medicine,Food & Dining,Healthcare & Medical
halal_restaurant,Food & Dining,Food & Dining
irish_restaurant,Food & Dining,Food & Dining
brasserie,Food & Dining,Food & Dining
public_phones,Food & Dining,Other Services
venezuelan_restaurant,Food & Dining,Food & Dining
eastern_european_restaurant,Food & Dining,Food & Dining
specialty_foods,Food & Dining,Food & Dining
speakeasy,Food & Dining,Food & Dining
scandinavian_restaurant,Food & Dining,Food & Dining
danish_restaurant,Food & Dining,Food & Dining
b2b_food_products,Food & Dining,Business-to-Business
seafood_restaurant,Food & Dining,Food & Dining
fish_restaurant,Food & Dining,Food & Dining
afghan_restaurant,Food & Dining,Food & Dining
barbecue_restaurant,Food & Dining,Food & Dining
pasta_shop,Food & Dining,Food & Dining
honduran_restaurant,Food & Dining,Food & Dining
malaysian_restaurant,Food & Dining,Food & Dining
coffee_and_tea_supplies,Food & Dining,Business-to-Business
european_restaurant,Food & Dining,Food & Dining
vermouth_bar,Food & Dining,Food & Dining
coffee_shop,Food & Dining,Food & Dining
bartender,Food & Dining,Food & Dining
sandwich_shop,Food & Dining,Food & Dining
frozen_foods,Food & Dining,Food & Dining
argentine_restaurant,Food & Dining,Food & Dining
poke_restaurant,Food & Dining,Food & Dining
barre_classes,Food & Dining,Beauty & Wellness
cajun_and_creole_restaurant,Food & Dining,Food & Dining
food_stand,Food & Dining,Food & Dining
texmex_restaurant,Food & Dining,Food & Dining
diner,Food & Dining,Food & Dining
diy_foods_restaurant,Food & Dining,Food & Dining
food_consultant,Food & Dining,Food & Dining
food_and_beverage_exporter,Food & Dining,Food & Dining
gastropub,Food & Dining,Food & Dining
barber,Food & Dining,Food & Dining
cidery,Food & Dining,Food & Dining
puerto_rican_restaurant,Food & Dining,Food & Dining
armenian_restaurant,Food & Dining,Food & Dining
sake_bar,Food & Dining,Food & Dining
topic_publisher,Food & Dining,Food & Dining
food_beverage_service_distribution,Food & Dining,Food & Dining
breakfast_and_brunch_restaurant,Food & Dining,Food & Dining
beer_bar,Food & Dining,Food & Dining
indo_chinese_restaurant,Food & Dining,Food & Dining
egyptian_restaurant,Food & Dining,Food & Dining
belgian_restaurant,Food & Dining,Food & Dining
irish_pub,Food & Dining,Food & Dining
gluten_free_restaurant,Food & Dining,Food & Dining
vietnamese_restaurant,Food & Dining,Food & Dining
cheese_shop,Food & Dining,Food & Dining
cigar_bar,Food & Dining,Food & Dining
cuban_restaurant,Food & Dining,Food & Dining
game_publisher,Food & Dining,Food & Dining
sri_lankan_restaurant,Food & Dining,Food & Dining
beach_bar,Food & Dining,Food & Dining
chicken_restaurant,Food & Dining,Food & Dining
sports_bar,Food & Dining,Food & Dining
south_african_restaurant,Food & Dining,Food & Dining
nicaraguan_restaurant,Food & Dining,Food & Dining
public_bath_houses,Food & Dining,Food & Dining
african_restaurant,Food & Dining,Food & Dining
bistro,Food & Dining,Food & Dining
hawaiian_restaurant,Food & Dining,Food & Dining
fish_and_chips_restaurant,Food & Dining,Food & Dining
restaurant,Food & Dining,Food & Dining
israeli_restaurant,Food & Dining,Food & Dining
dim_sum_restaurant,Food & Dining,Food & Dining
shaved_ice_shop,Food & Dining,Food & Dining
polynesian_restaurant,Food & Dining,Food & Dining
restaurant_equipment_and_supply,Food & Dining,Food & Dining
public_utility_company,Food & Dining,Food & Dining
syrian_restaurant,Food & Dining,Food & Dining
czech_restaurant,Food & Dining,Food & Dining
eat_and_drink,Food & Dining,Food & Dining
drive_thru_bar,Food & Dining,Food & Dining
