OM_Category_Label,OM_Simplified_Category,OM_Updated_Category,FSQ_Category_Primary,FSQ_Category_ID,FSQ_Category_Label
zoo,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10056,Arts and Entertainment > Zoo
studio_taping,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,11007,Business and Professional Services > Auditorium
virtual_reality_center,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10054,Arts and Entertainment > VR Cafe
history_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10030,Arts and Entertainment > Museum > History Museum
performing_arts,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10035,Arts and Entertainment > Performing Arts Venue
circus,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10009,Arts and Entertainment > Circus
sports_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10027,Arts and Entertainment > Museum
aquarium,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10002,Arts and Entertainment > Aquarium
agricultural_production,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,16014,Landmarks and Outdoors > Farm
music_festivals_and_organizations,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,12082,Community and Government > Organization
art_school,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,12011,Community and Government > Education > Art School
topic_concert_venue,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10037,Arts and Entertainment > Performing Arts Venue > Concert Hall
trade_fair,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10017,Arts and Entertainment > Fair
musical_band_orchestras_and_symphonies,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10035,Arts and Entertainment > Performing Arts Venue
dance_club,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10032,Arts and Entertainment > Night Club
opera_and_ballet,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10042,Arts and Entertainment > Performing Arts Venue > Opera House
general_festivals,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10017,Arts and Entertainment > Fair
audio_visual_production_and_design,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10000,Arts and Entertainment
escape_rooms,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10015,Arts and Entertainment > Escape Room
henna_artist,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,11005,Business and Professional Services > Art Studio
crops_production,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,16014,Landmarks and Outdoors > Farm
water_park,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10055,Arts and Entertainment > Water Park
cultural_center,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,12005,Community and Government > Cultural Center
choir,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10035,Arts and Entertainment > Performing Arts Venue
contemporary_art_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10028,Arts and Entertainment > Museum > Art Museum
adult_entertainment,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10052,Arts and Entertainment > Strip Club
art_gallery,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10004,Arts and Entertainment > Art Gallery
observatory,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10044,Arts and Entertainment > Planetarium
festival,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10017,Arts and Entertainment > Fair
entertainment_law,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10000,Arts and Entertainment
film_festivals_and_organizations,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,12082,Community and Government > Organization
computer_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10027,Arts and Entertainment > Museum
planetarium,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10044,Arts and Entertainment > Planetarium
amusement_park,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10001,Arts and Entertainment > Amusement Park
orchards_production,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,16014,Landmarks and Outdoors > Farm
arts_and_entertainment,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10000,Arts and Entertainment
community_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10027,Arts and Entertainment > Museum
commissioned_artist,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,11005,Business and Professional Services > Art Studio
video_film_production,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,11005,Business and Professional Services > Art Studio
recording_and_rehearsal_studio,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,11005,Business and Professional Services > Art Studio
rodeo,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10051,Arts and Entertainment > Stadium
design_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10027,Arts and Entertainment > Museum
theatre,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10024,Arts and Entertainment > Movie Theater
karaoke,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10021,Arts and Entertainment > Karaoke Box
asian_art_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10028,Arts and Entertainment > Museum > Art Museum
corporate_entertainment_services,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10000,Arts and Entertainment
qi_gong_studio,Arts & Entertainment,Beauty & Wellness,Business and Professional Services,18028,Sports and Recreation > Gym and Studio > Yoga Studio
comedy_club,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10010,Arts and Entertainment > Comedy Club
state_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10027,Arts and Entertainment > Museum
drive_in_theater,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10025,Arts and Entertainment > Movie Theater > Drive-in Theater
tai_chi_studio,Arts & Entertainment,Beauty & Wellness,Business and Professional Services,18028,Sports and Recreation > Gym and Studio > Yoga Studio
music_production_services,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10039,Arts and Entertainment > Performing Arts Venue > Music Venue
photography_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10027,Arts and Entertainment > Museum
broadcasting_media_production,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10000,Arts and Entertainment
national_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10027,Arts and Entertainment > Museum
theatrical_productions,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10000,Arts and Entertainment
aviation_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10027,Arts and Entertainment > Museum
outdoor_movies,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10024,Arts and Entertainment > Movie Theater
aquarium_services,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10002,Arts and Entertainment > Aquarium
decorative_arts_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10028,Arts and Entertainment > Museum > Art Museum
music_production,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10039,Arts and Entertainment > Performing Arts Venue > Music Venue
magician,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10046,Arts and Entertainment > Psychic and Astrologer
theaters_and_performance_venues,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10024,Arts and Entertainment > Movie Theater
art_tours,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10004,Arts and Entertainment > Art Gallery
petting_zoo,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10056,Arts and Entertainment > Zoo
cinema,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10024,Arts and Entertainment > Movie Theater
movie_television_studio,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,11005,Business and Professional Services > Art Studio
housing_cooperative,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,12082,Community and Government > Organization
costume_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10027,Arts and Entertainment > Museum
dance_school,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,12011,Community and Government > Education > Art School
science_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10031,Arts and Entertainment > Museum > Science Museum
animation_studio,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,11005,Business and Professional Services > Art Studio
childrens_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10027,Arts and Entertainment > Museum
music_venue,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10039,Arts and Entertainment > Performing Arts Venue > Music Venue
art_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10028,Arts and Entertainment > Museum > Art Museum
arcade,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10003,Arts and Entertainment > Arcade
circus_school,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10009,Arts and Entertainment > Circus
karaoke_rental,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10021,Arts and Entertainment > Karaoke Box
military_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10027,Arts and Entertainment > Museum
botanical_garden,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10000,Arts and Entertainment
fair,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10017,Arts and Entertainment > Fair
drama_school,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,12011,Community and Government > Education > Art School
bingo_hall,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10005,Arts and Entertainment > Bingo Center
modern_art_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10028,Arts and Entertainment > Museum > Art Museum
casino,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10008,Arts and Entertainment > Casino
grain_production,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,16014,Landmarks and Outdoors > Farm
museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10027,Arts and Entertainment > Museum
civilization_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10030,Arts and Entertainment > Museum > History Museum
dinner_theater,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10024,Arts and Entertainment > Movie Theater
commercial_vehicle_dealer,Automotive,Automotive,Business and Professional Services,17006,Retail > Automotive Retail > Car Dealership
emissions_inspection,Automotive,Automotive,Business and Professional Services,11018,Business and Professional Services > Automotive Service > Vehicle Inspection Station
b2b_forklift_dealers,Automotive,Business-to-Business,Business and Professional Services,17006,Retail > Automotive Retail > Car Dealership
foundation_repair,Automotive,Automotive,Business and Professional Services,11028,Business and Professional Services > Construction
coin_dealers,Automotive,Automotive,Business and Professional Services,11000,Business and Professional Services
shoe_repair,Automotive,Automotive,Business and Professional Services,11164,Business and Professional Services > Shoe Repair Service
hydraulic_repair_service,Automotive,Automotive,Business and Professional Services,11027,Business and Professional Services > Computer Repair Service
trailer_dealer,Automotive,Automotive,Business and Professional Services,17006,Retail > Automotive Retail > Car Dealership
b2b_equipment_maintenance_and_repair,Automotive,Business-to-Business,Business and Professional Services,11100,Business and Professional Services > Home Improvement Service > Swimming Pool Maintenance and Service
automotive_parts_and_accessories,Automotive,Automotive,Business and Professional Services,11009,Business and Professional Services > Automotive Service
wheel_and_rim_repair,Automotive,Automotive,Business and Professional Services,11010,Business and Professional Services > Automotive Service > Automotive Repair Shop
auto_customization,Automotive,Automotive,Business and Professional Services,11010,Business and Professional Services > Automotive Service > Automotive Repair Shop
auto_glass_service,Automotive,Automotive,Business and Professional Services,11010,Business and Professional Services > Automotive Service > Automotive Repair Shop
forklift_dealer,Automotive,Automotive,Business and Professional Services,17006,Retail > Automotive Retail > Car Dealership
car_inspection,Automotive,Automotive,Business and Professional Services,11018,Business and Professional Services > Automotive Service > Vehicle Inspection Station
media_restoration_service,Automotive,Automotive,Business and Professional Services,11004,Business and Professional Services > Art Restoration Service
car_buyer,Automotive,Automotive,Business and Professional Services,11182,Business and Professional Services > Business Service
b2b_truck_equipment_parts_and_accessories,Automotive,Business-to-Business,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier
boat_service_and_repair,Automotive,Automotive,Business and Professional Services,11027,Business and Professional Services > Computer Repair Service
motorcycle_rentals,Automotive,Automotive,Business and Professional Services,19048,Travel and Transportation > Transport Hub > Rental Car Location
car_dealer,Automotive,Automotive,Business and Professional Services,17006,Retail > Automotive Retail > Car Dealership
truck_rentals,Automotive,Automotive,Business and Professional Services,19048,Travel and Transportation > Transport Hub > Rental Car Location
motorcycle_dealer,Automotive,Automotive,Business and Professional Services,17012,Retail > Automotive Retail > Motorcycle Dealership
recreation_vehicle_repair,Automotive,Automotive,Business and Professional Services,11010,Business and Professional Services > Automotive Service > Automotive Repair Shop
mobile_home_dealer,Automotive,Automotive,Business and Professional Services,17006,Retail > Automotive Retail > Car Dealership
car_wash,Automotive,Automotive,Business and Professional Services,11011,Business and Professional Services > Automotive Service > Car Wash and Detail
brake_service_and_repair,Automotive,Automotive,Business and Professional Services,11010,Business and Professional Services > Automotive Service > Automotive Repair Shop
automation_services,Automotive,Automotive,Business and Professional Services,11008,Business and Professional Services > Automation and Control System
automotive_wheel_polishing_service,Automotive,Automotive,Business and Professional Services,11009,Business and Professional Services > Automotive Service
exhaust_and_muffler_repair,Automotive,Automotive,Business and Professional Services,11010,Business and Professional Services > Automotive Service > Automotive Repair Shop
car_broker,Automotive,Automotive,Business and Professional Services,11182,Business and Professional Services > Business Service
car_window_tinting,Automotive,Automotive,Business and Professional Services,11010,Business and Professional Services > Automotive Service > Automotive Repair Shop
department_of_motor_vehicles,Automotive,Automotive,Business and Professional Services,12075,Community and Government > Government Building > Post Office
tire_dealer_and_repair,Automotive,Automotive,Business and Professional Services,11015,Business and Professional Services > Automotive Service > Tire Repair Shop
towing_service,Automotive,Automotive,Business and Professional Services,11016,Business and Professional Services > Automotive Service > Towing Service
jewelry_repair_service,Automotive,Automotive,Business and Professional Services,11027,Business and Professional Services > Computer Repair Service
car_rental_agency,Automotive,Automotive,Business and Professional Services,19048,Travel and Transportation > Transport Hub > Rental Car Location
inspection_services,Automotive,Automotive,Business and Professional Services,11018,Business and Professional Services > Automotive Service > Vehicle Inspection Station
truck_dealer,Automotive,Automotive,Business and Professional Services,17006,Retail > Automotive Retail > Car Dealership
bike_repair_maintenance,Automotive,Automotive,Business and Professional Services,11027,Business and Professional Services > Computer Repair Service
mobile_home_repair,Automotive,Automotive,Business and Professional Services,11010,Business and Professional Services > Automotive Service > Automotive Repair Shop
trucks_and_industrial_vehicles,Automotive,Automotive,Business and Professional Services,11105,Business and Professional Services > Industrial Equipment Supplier
automotive_services_and_repair,Automotive,Automotive,Business and Professional Services,11010,Business and Professional Services > Automotive Service > Automotive Repair Shop
truck_repair,Automotive,Automotive,Business and Professional Services,11010,Business and Professional Services > Automotive Service > Automotive Repair Shop
clock_repair_service,Automotive,Automotive,Business and Professional Services,11027,Business and Professional Services > Computer Repair Service
b2b_autos_and_vehicles,Automotive,Business-to-Business,Business and Professional Services,11000,Business and Professional Services
fire_and_water_damage_restoration,Automotive,Automotive,Business and Professional Services,11027,Business and Professional Services > Computer Repair Service
auto_security,Automotive,Automotive,Business and Professional Services,11182,Business and Professional Services > Business Service
motorcycle_gear,Automotive,Automotive,Business and Professional Services,11012,Business and Professional Services > Automotive Service > Motorcycle Repair Shop
car_stereo_installation,Automotive,Automotive,Business and Professional Services,11010,Business and Professional Services > Automotive Service > Automotive Repair Shop
farm_equipment_repair_service,Automotive,Automotive,Business and Professional Services,11027,Business and Professional Services > Computer Repair Service
auto_detailing,Automotive,Automotive,Business and Professional Services,11011,Business and Professional Services > Automotive Service > Car Wash and Detail
car_auction,Automotive,Automotive,Business and Professional Services,11182,Business and Professional Services > Business Service
boat_dealer,Automotive,Automotive,Business and Professional Services,17015,Retail > Betting Shop
it_service_and_computer_repair,Automotive,Automotive,Business and Professional Services,11027,Business and Professional Services > Computer Repair Service
truck_dealer_for_businesses,Automotive,Automotive,Business and Professional Services,11000,Business and Professional Services
automotive_repair,Automotive,Automotive,Business and Professional Services,11010,Business and Professional Services > Automotive Service > Automotive Repair Shop
home_automation,Automotive,Automotive,Business and Professional Services,11008,Business and Professional Services > Automation and Control System
hybrid_car_repair,Automotive,Automotive,Business and Professional Services,11010,Business and Professional Services > Automotive Service > Automotive Repair Shop
furniture_repair,Automotive,Automotive,Business and Professional Services,11010,Business and Professional Services > Automotive Service > Automotive Repair Shop
diamond_dealer,Automotive,Automotive,Business and Professional Services,11000,Business and Professional Services
automotive,Automotive,Automotive,Business and Professional Services,11009,Business and Professional Services > Automotive Service
auto_loan_provider,Automotive,Automotive,Business and Professional Services,11000,Business and Professional Services
aircraft_repair,Automotive,Automotive,Business and Professional Services,11010,Business and Professional Services > Automotive Service > Automotive Repair Shop
used_car_dealer,Automotive,Automotive,Business and Professional Services,11011,Business and Professional Services > Automotive Service > Car Wash and Detail
retirement_home,Automotive,Automotive,Business and Professional Services,11059,Business and Professional Services > Funeral Home
automotive_dealer,Automotive,Automotive,Business and Professional Services,11009,Business and Professional Services > Automotive Service
water_heater_installation_repair,Automotive,Automotive,Business and Professional Services,11010,Business and Professional Services > Automotive Service > Automotive Repair Shop
motorsport_vehicle_repair,Automotive,Automotive,Business and Professional Services,11010,Business and Professional Services > Automotive Service > Automotive Repair Shop
art_restoration_service,Automotive,Automotive,Business and Professional Services,11004,Business and Professional Services > Art Restoration Service
vehicle_wrap,Automotive,Automotive,Business and Professional Services,11018,Business and Professional Services > Automotive Service > Vehicle Inspection Station
mobile_phone_repair,Automotive,Automotive,Business and Professional Services,11010,Business and Professional Services > Automotive Service > Automotive Repair Shop
recreational_vehicle_parts_and_accessories,Automotive,Automotive,Business and Professional Services,11018,Business and Professional Services > Automotive Service > Vehicle Inspection Station
b2b_tires,Automotive,Business-to-Business,Business and Professional Services,11000,Business and Professional Services
washer_and_dryer_repair_service,Automotive,Automotive,Business and Professional Services,11002,Business and Professional Services > Agriculture and Forestry Service
recreational_vehicle_dealer,Automotive,Automotive,Business and Professional Services,11018,Business and Professional Services > Automotive Service > Vehicle Inspection Station
vehicle_shipping,Automotive,Automotive,Business and Professional Services,11018,Business and Professional Services > Automotive Service > Vehicle Inspection Station
watch_repair_service,Automotive,Automotive,Business and Professional Services,11027,Business and Professional Services > Computer Repair Service
automotive_consultant,Automotive,Automotive,Business and Professional Services,11009,Business and Professional Services > Automotive Service
windshield_installation_and_repair,Automotive,Automotive,Business and Professional Services,11010,Business and Professional Services > Automotive Service > Automotive Repair Shop
gas_station,Automotive,Automotive,Business and Professional Services,11018,Business and Professional Services > Automotive Service > Vehicle Inspection Station
auto_insurance,Automotive,Automotive,Business and Professional Services,11107,Business and Professional Services > Insurance Agency
art_restoration,Automotive,Automotive,Business and Professional Services,11004,Business and Professional Services > Art Restoration Service
auto_electrical_repair,Automotive,Automotive,Business and Professional Services,11010,Business and Professional Services > Automotive Service > Automotive Repair Shop
scooter_dealers,Automotive,Automotive,Business and Professional Services,11000,Business and Professional Services
home_window_tinting,Automotive,Automotive,Business and Professional Services,11059,Business and Professional Services > Funeral Home
bathtub_and_sink_repairs,Automotive,Automotive,Business and Professional Services,11000,Business and Professional Services
cable_car_service,Automotive,Automotive,Business and Professional Services,11011,Business and Professional Services > Automotive Service > Car Wash and Detail
truck_gas_station,Automotive,Automotive,Business and Professional Services,11018,Business and Professional Services > Automotive Service > Vehicle Inspection Station
damage_restoration,Automotive,Automotive,Business and Professional Services,11004,Business and Professional Services > Art Restoration Service
auto_manufacturers_and_distributors,Automotive,Automotive,Business and Professional Services,11000,Business and Professional Services
motorcycle_repair,Automotive,Automotive,Business and Professional Services,11012,Business and Professional Services > Automotive Service > Motorcycle Repair Shop
car_sharing,Automotive,Automotive,Business and Professional Services,11011,Business and Professional Services > Automotive Service > Car Wash and Detail
aircraft_dealer,Automotive,Automotive,Business and Professional Services,11000,Business and Professional Services
generator_installation_repair,Automotive,Automotive,Business and Professional Services,11010,Business and Professional Services > Automotive Service > Automotive Repair Shop
lawn_mower_repair_service,Automotive,Automotive,Business and Professional Services,11027,Business and Professional Services > Computer Repair Service
automobile_leasing,Automotive,Automotive,Business and Professional Services,11000,Business and Professional Services
b2b_tractor_dealers,Automotive,Automotive,Business and Professional Services,11000,Business and Professional Services
motorsport_vehicle_dealer,Automotive,Automotive,Business and Professional Services,11018,Business and Professional Services > Automotive Service > Vehicle Inspection Station
mobile_dent_repair,Automotive,Automotive,Business and Professional Services,11010,Business and Professional Services > Automotive Service > Automotive Repair Shop
livestock_dealers,Automotive,Automotive,Business and Professional Services,11000,Business and Professional Services
auto_company,Automotive,Automotive,Business and Professional Services,11123,Business and Professional Services > Mobile Company
automobile_registration_service,Automotive,Automotive,Business and Professional Services,11002,Business and Professional Services > Agriculture and Forestry Service
transmission_repair,Automotive,Automotive,Business and Professional Services,11010,Business and Professional Services > Automotive Service > Automotive Repair Shop
fuel_dock,Automotive,Automotive,Business and Professional Services,11000,Business and Professional Services
ceiling_and_roofing_repair_and_service,Automotive,Construction & Contractors,Business and Professional Services,11002,Business and Professional Services > Agriculture and Forestry Service
town_car_service,Automotive,Automotive,Business and Professional Services,11011,Business and Professional Services > Automotive Service > Car Wash and Detail
mechanical_engineers,Automotive,Automotive,Business and Professional Services,11000,Business and Professional Services
engine_repair_service,Automotive,Automotive,Business and Professional Services,11027,Business and Professional Services > Computer Repair Service
automotive_storage_facility,Automotive,Automotive,Business and Professional Services,11165,Business and Professional Services > Storage Facility
auto_restoration_services,Automotive,Automotive,Business and Professional Services,11004,Business and Professional Services > Art Restoration Service
appliance_repair_service,Automotive,Automotive,Business and Professional Services,11027,Business and Professional Services > Computer Repair Service
furniture_reupholstery,Automotive,Automotive,Business and Professional Services,11000,Business and Professional Services
